sequence,move to front,opt,opt free,discrete doa,continuous doa
"2,3,1,3,2,1,0,3,1,3,0,1,0,2,0,1,2,3",56,44,45,48,46
"2,3,1,3,2,1,0,3,1,3,0,1,3,1,0,3,3,0",52,39,39,46,40
"2,3,1,3,2,1,0,3,1,3,0,1,0,2,2,0,0,1",51,41,42,46,43
"2,3,1,3,2,1,0,3,1,3,0,1,2,3,1,2,3,0",59,44,44,49,45
"2,3,1,3,2,1,0,3,1,3,0,1,0,3,1,0,3,2",56,43,43,47,44
"2,3,1,3,2,1,0,3,1,3,0,1,0,0,3,3,2,0",52,41,41,44,42
"2,3,1,3,2,1,0,3,1,3,0,1,1,0,0,0,3,2",50,40,41,46,43
"2,3,1,3,2,1,0,3,1,3,0,1,0,0,1,2,2,3",52,42,43,48,44
"2,3,1,3,2,1,0,3,1,3,0,1,3,1,3,3,0,3",51,38,38,44,39
"2,3,1,3,2,1,0,3,1,3,0,1,3,0,3,2,1,3",57,41,41,46,42
"2,3,1,3,2,1,0,3,1,3,0,1,0,3,3,0,1,1",50,40,40,45,41
"2,3,1,3,2,1,0,3,1,3,0,1,0,2,0,0,3,0",53,40,40,43,41
"2,3,1,3,2,1,0,3,1,3,0,1,0,0,1,3,3,1",49,39,40,45,41
"2,3,1,3,2,1,0,3,1,3,0,1,0,2,2,0,3,0",53,42,42,45,43
"2,3,1,3,2,1,0,3,1,3,0,1,2,2,2,2,0,3",52,42,42,45,43
"2,3,1,3,2,1,0,3,1,3,0,1,0,2,1,0,3,2",58,44,45,48,46
"2,3,1,3,2,1,0,3,1,3,0,1,2,3,2,1,3,0",58,44,44,49,45
"2,3,1,3,2,1,0,3,1,3,0,1,0,3,3,0,2,2",51,41,41,44,42
"2,3,1,3,2,1,0,3,1,3,0,1,0,2,2,2,2,0",49,39,40,43,41
"2,3,1,3,2,1,0,3,1,3,0,1,0,1,3,1,1,3",50,38,39,45,41
"2,3,1,3,2,1,0,3,1,3,0,1,3,0,2,2,0,1",55,43,44,47,45
"2,3,1,3,2,1,0,3,1,3,0,1,3,2,3,1,0,2",58,44,44,48,45
"2,3,1,3,2,1,0,3,1,3,0,1,0,0,0,1,0,2",50,39,40,45,41
"2,3,1,3,2,1,0,3,1,3,0,1,2,3,3,0,3,3",54,40,40,43,41
"2,3,1,3,2,1,0,3,1,3,0,1,0,0,0,1,3,1",49,38,39,44,40
"2,3,1,3,2,1,0,3,1,3,0,1,1,2,0,3,3,2",54,42,43,49,46
"2,3,1,3,2,1,0,3,1,3,0,1,1,3,1,1,3,3",48,36,37,42,38
