sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,4,0,1,0,0,1,4",19,16,16,19,16
"2,1,4,0,2,3,1,0",33,21,21,21,21
"0,0,0,0,0,0,4,3",16,15,15,15,15
"2,1,3,0,4,2,1,0",33,21,21,21,21
"4,3,1,1,3,1,3,4",24,20,23,23,23
"4,3,2,3,4,1,2,2",30,24,26,28,28
"4,2,1,1,4,2,4,2",24,19,21,22,22
"1,0,2,3,1,1,2,3",22,18,18,20,20
"3,4,2,3,2,3,2,4",26,21,23,25,23
"0,0,0,0,1,1,3,3",12,12,12,12,12
"0,4,1,3,0,2,1,0",30,19,19,19,19
"4,3,0,2,1,0,1,0",30,19,19,19,19
"0,0,0,0,0,3,0,1",14,12,12,12,12
"0,0,0,0,0,2,1,3",15,14,14,14,14
"4,3,1,3,4,1,2,0",32,26,26,29,29
"0,0,0,0,0,1,3,0",14,12,12,12,12
"0,1,0,0,4,2,1,4",22,18,18,18,19
"4,1,2,4,4,4,4,4",19,17,17,17,18
"1,1,0,0,4,2,1,4",22,19,19,19,20
"0,0,0,0,0,3,1,0",15,12,12,12,12
"4,3,2,3,4,0,2,1",33,27,27,30,30
"0,0,0,0,0,2,2,4",14,14,14,14,14
"1,4,3,2,0,1,0,0",30,19,19,19,19
"0,0,0,0,1,2,4,4",15,15,15,15,15
"0,0,0,0,3,3,0,0",12,12,12,12,12
"4,3,0,4,0,4,3,0",26,20,20,24,20
"0,4,3,1,1,3,1,4",23,19,22,22,22
"3,4,2,3,2,3,4,2",27,21,23,25,23
"0,0,0,0,2,4,4,3",18,18,18,18,18
"2,4,3,1,1,4,3,2",29,24,27,28,28
"2,4,1,3,0,2,0,1",33,21,21,21,21
"4,3,1,1,3,3,4,4",22,19,22,22,22
"4,3,1,4,3,0,1,2",33,26,26,29,29
"1,4,0,3,2,0,1,0",30,19,19,19,19
"0,4,1,0,1,1,0,4",20,17,17,20,17
"0,4,1,0,1,0,4,0",21,16,16,19,16
"1,0,2,3,1,1,3,2",21,18,18,20,20
"3,4,2,1,4,0,2,4",34,24,24,24,26
"0,0,0,0,0,0,3,3",11,11,11,11,11
"0,0,0,0,2,4,4,4",14,14,14,14,14
"0,0,0,0,0,3,3,3",11,11,11,11,11
"4,3,2,4,3,1,0,2",36,27,27,30,30
"0,0,4,2,1,4,4,4",20,17,17,17,18
"0,0,0,0,0,0,4,0",13,12,12,12,12
"0,4,3,2,1,0,1,0",30,19,19,19,19
"4,1,0,0,1,0,0,4",20,16,16,19,16
"4,2,1,4,2,1,4,2",28,21,22,25,22
"0,4,3,2,2,3,4,4",23,20,23,23,23
"4,2,0,4,2,1,0,2",29,21,21,25,22
"2,4,3,1,4,3,1,1",28,21,24,25,24
"4,3,1,3,1,1,3,4",24,20,23,23,23
"4,0,0,1,0,0,1,4",19,16,16,19,16
"0,0,0,0,0,4,4,3",16,16,16,16,16
"4,3,1,1,1,3,1,4",23,19,22,22,22
"0,2,2,4,1,0,4,4",22,19,19,19,20
"4,1,0,1,0,0,0,4",20,16,16,19,16
"0,4,3,2,3,2,4,4",24,20,23,23,23
"1,0,4,3,2,0,1,0",30,19,19,19,19
"0,0,0,0,0,3,0,2",15,13,13,13,13
"4,1,3,0,2,1,0,0",30,19,19,19,19
"0,0,0,0,2,2,3,3",13,13,13,13,13
"1,1,1,4,2,0,4,4",21,18,18,18,19
"1,0,1,1,4,0,2,4",22,19,19,19,20
"4,1,0,1,4,0,0,0",21,16,16,19,16
"2,1,4,3,0,1,2,0",33,21,21,21,21
"2,3,1,2,3,1,1,3",23,18,20,21,21
"0,0,1,0,4,1,2,4",21,18,18,18,19
"0,0,0,0,1,3,3,3",12,12,12,12,12
"4,3,1,1,4,3,3,3",23,19,22,22,22
"4,1,2,4,0,4,4,4",23,18,18,18,19
"4,2,0,4,2,0,2,0",25,18,19,22,19
"0,0,0,0,0,1,4,1",14,13,13,13,13
"0,0,0,0,1,1,1,2",11,11,11,11,11
"0,4,3,1,4,3,1,1",25,19,22,23,22
"4,3,1,1,3,1,4,1",24,19,22,22,22
"4,3,2,4,1,2,1,3",32,24,27,28,28
"0,0,0,0,0,4,4,0",13,13,13,13,13
"4,1,0,0,1,4,4,4",19,16,16,19,16
"0,0,0,0,0,0,3,4",15,15,15,15,15
"0,0,4,3,2,3,2,4",24,20,23,23,23
"0,0,0,0,1,1,2,3",14,14,14,14,14
"4,3,2,3,4,1,2,0",34,27,27,30,30
"0,4,3,1,3,4,1,1",24,19,22,23,22
"0,4,3,1,3,1,4,4",23,19,22,22,22
"1,1,2,3,0,0,3,2",20,18,18,20,20
"4,3,2,4,1,3,2,3",33,25,26,29,29
"0,4,3,1,1,4,3,3",23,19,22,22,22
"2,4,0,3,1,2,0,1",33,21,21,21,21
"2,3,1,4,0,2,1,0",33,21,21,21,21
"0,0,4,1,0,0,1,4",19,16,16,19,16
"0,0,0,0,0,3,1,2",16,14,14,14,14
"4,3,2,3,4,1,1,2",30,24,27,28,28
"3,4,1,0,2,3,1,0",35,22,22,22,22
"1,1,2,3,0,3,0,2",21,18,18,20,20
"0,0,0,0,0,1,4,3",17,16,16,16,16
"2,4,3,4,1,3,2,1",30,24,27,27,28
"0,0,1,1,4,0,2,4",20,18,18,18,19
"4,3,1,3,4,1,4,1",26,20,23,24,23
"1,1,4,0,1,0,1,4",21,17,17,20,17
"0,4,3,2,2,2,4,3",24,20,23,23,23
"1,1,2,3,0,0,2,3",21,18,18,20,20
"0,4,3,2,3,4,1,2",30,24,26,28,28
"0,4,3,1,1,3,4,1",24,19,22,22,22
"1,1,4,2,0,2,4,0",24,19,20,23,21
"4,3,1,3,1,1,4,4",23,19,22,22,22
"2,1,4,2,1,2,4,1",25,19,20,23,20
"4,3,2,3,4,0,1,2",34,27,27,30,30
"0,0,0,0,2,2,2,3",13,13,13,13,13
"0,2,1,2,3,1,0,3",23,19,19,21,21
"1,2,4,3,0,1,2,0",33,21,21,21,21
"2,4,1,2,4,1,2,1",26,19,21,23,21
"4,0,1,0,0,0,1,4",19,16,16,19,16
"0,0,0,0,0,2,3,3",13,13,13,13,13
"4,3,1,1,3,4,1,3",26,20,23,23,23
"0,1,0,0,4,1,2,4",21,18,18,18,19
"3,2,4,3,2,3,2,4",26,21,22,25,22
"4,3,2,3,4,1,0,2",35,27,27,30,30
"0,3,0,2,3,2,1,3",23,19,19,21,21
"1,4,0,3,2,1,0,0",30,19,19,19,19
"0,4,2,1,4,4,4,0",23,18,18,18,19
"4,3,2,4,3,1,2,0",35,27,27,30,30
"0,0,4,2,1,2,4,1",23,18,20,22,20
"4,1,0,3,2,0,1,0",30,19,19,19,19
"1,0,4,3,1,4,3,1",27,20,21,24,23
"4,3,2,3,4,2,0,1",32,27,27,30,30
"0,0,0,0,0,0,0,0",8,8,8,8,8
"3,4,1,0,1,0,4,3",28,22,22,26,22
"0,0,0,0,2,2,1,3",15,15,15,15,15
"0,4,3,2,2,3,2,4",24,20,23,23,23
"0,3,0,2,3,1,2,3",24,19,19,21,21
"4,3,2,1,0,2,1,0",34,21,21,21,21
"4,1,1,3,4,0,2,3",30,25,25,28,28
"2,1,0,4,3,2,1,0",34,21,21,21,21
"0,3,4,2,1,2,4,1",28,21,23,25,23
"4,2,3,4,1,2,2,3",31,24,25,28,28
"4,1,3,2,0,0,1,0",30,19,19,19,19
"0,0,0,0,0,3,3,2",14,14,14,14,14
"2,2,4,3,0,3,4,0",26,21,22,25,24
"4,2,1,4,0,4,4,4",24,18,18,18,19
"0,0,0,0,0,2,3,2",14,13,13,13,13
"0,0,0,0,1,1,0,4",14,14,14,14,14
"0,0,0,0,0,3,0,3",13,12,12,12,12
"0,4,1,2,4,4,4,4",19,17,17,17,18
"3,4,2,1,2,4,1,1",28,21,23,25,23
"2,4,1,2,1,2,1,4",24,19,21,23,21
"0,4,3,1,1,1,4,3",23,19,22,22,22
"4,3,2,4,3,2,0,1",33,27,27,30,30
"0,0,1,0,4,2,1,4",22,18,18,18,19
"2,4,3,1,4,3,2,1",32,24,27,29,28
"3,2,4,3,2,3,4,2",27,21,22,25,22
"0,1,4,3,2,0,1,0",30,19,19,19,19
"3,1,0,4,2,3,1,0",35,22,22,22,22
"0,0,0,0,2,2,1,4",16,16,16,16,16
"2,0,4,0,0,2,4,2",21,17,17,20,17
"4,2,1,4,3,0,2,4",35,25,25,25,27
"0,0,4,1,2,4,4,4",19,17,17,17,18
"0,0,0,0,0,2,2,1",12,12,12,12,12
"0,0,0,0,0,0,4,4",12,12,12,12,12
"0,0,0,0,0,3,1,4",17,16,16,16,16
"3,1,4,3,1,3,4,1",26,20,21,24,21
"2,3,1,0,4,2,1,0",33,21,21,21,21
"0,0,4,3,2,4,3,2",26,20,23,23,23
"4,1,0,3,2,1,0,0",30,19,19,19,19
"4,2,1,2,4,1,1,0",26,21,21,25,22
"2,4,3,1,4,3,1,2",31,24,27,28,28
"0,0,0,0,0,3,2,3",15,14,14,14,14
"0,0,0,0,2,2,4,4",14,14,14,14,14
"1,4,0,1,0,1,4,0",23,17,17,20,17
"1,0,1,0,4,2,1,4",24,19,19,19,20
"0,0,0,0,1,2,2,3",14,14,14,14,14
"4,3,1,4,3,2,0,1",35,26,26,29,29
"4,3,1,1,3,4,0,2",29,26,26,29,29
"4,2,3,4,1,3,0,1",33,25,25,28,28
"1,0,2,3,1,3,2,1",23,18,18,21,20
"4,2,1,4,4,2,0,1",28,23,23,23,25
"0,0,0,0,0,2,2,2",10,10,10,10,10
"0,4,3,1,0,2,1,0",30,19,19,19,19
"4,3,1,1,3,1,4,4",23,19,22,22,22
"4,1,0,1,0,0,4,4",20,16,16,19,16
"0,0,0,0,1,3,3,2",15,15,15,15,15
"0,4,3,2,4,3,1,2",31,24,26,28,28
"4,1,0,0,1,4,1,1",20,16,16,19,16
"0,0,0,0,0,3,0,4",16,15,15,15,15
"1,0,1,1,4,2,0,4",23,19,19,19,20
"1,2,4,0,3,1,2,0",33,21,21,21,21
"2,0,1,4,3,2,0,1",33,21,21,21,21
"4,3,1,1,1,3,4,4",22,19,22,22,22
"4,3,1,0,0,2,1,0",30,19,19,19,19
"3,4,1,3,1,3,4,1",26,20,22,24,22
"0,0,0,0,0,0,2,0",11,10,10,10,10
"3,4,0,3,0,3,0,4",24,19,19,23,19
"3,4,2,1,2,4,1,3",31,24,27,29,27
"4,2,1,3,0,2,1,0",34,21,21,21,21
"1,0,4,2,1,4,0,4",26,19,19,19,20
"4,2,1,4,0,2,4,3",32,25,25,25,27
"0,0,0,0,0,2,0,3",14,13,13,13,13
"0,0,0,0,0,3,2,2",14,13,13,13,13
"4,3,1,1,3,3,3,4",22,19,22,22,22
"4,2,1,4,2,0,1,2",30,22,22,26,22
"4,3,2,4,3,0,1,2",35,27,27,30,30
"1,0,4,2,1,4,4,4",22,18,18,18,19
"0,2,2,2,4,0,1,4",21,19,19,19,20
"4,2,2,3,4,0,1,3",31,26,26,29,29
"0,0,0,0,0,2,4,1",17,15,15,15,15
"0,4,3,2,2,3,3,4",23,20,23,23,23
"0,0,0,0,0,0,0,2",10,10,10,10,10
"4,3,4,1,3,2,0,1",33,26,26,29,29
"1,0,0,0,4,1,2,4",21,18,18,18,19
"0,0,0,0,0,2,3,1",16,14,14,14,14
"0,0,0,0,0,2,2,0",11,11,11,11,11
"4,2,1,2,4,1,0,1",27,21,21,25,22
"0,1,1,4,2,0,4,4",21,18,18,18,19
"0,0,0,0,1,3,3,4",16,16,16,16,16
"1,4,2,0,3,1,2,0",33,21,21,21,21
"4,3,1,4,1,1,1,3",24,19,22,22,22
"4,1,0,0,0,1,4,1",20,16,16,19,16
"0,0,0,0,1,4,4,2",16,16,16,16,16
"4,3,1,1,4,3,3,4",24,20,23,24,23
"4,2,1,1,4,2,2,4",23,19,21,22,22
