sequence,move to front,opt,opt free,discrete doa,continuous doa
"1,3,2,0,0,1,3,0,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,1,1,3,3,2",18,18,18,18,18
"0,0,0,0,0,0,0,3,1,1,3",17,16,17,17,17
"0,0,0,0,0,0,0,1,2,0,3",19,17,17,17,17
"0,3,2,0,3,0,3,2,0,0,2",28,22,22,26,22
"3,2,1,2,3,1,1,3,3,3,3",26,21,23,24,24
"0,2,3,1,2,1,2,3,1,1,3",28,22,24,25,25
"2,1,3,1,3,2,0,1,0,2,1",33,26,26,31,27
"2,0,2,1,3,0,3,1,0,1,0",30,23,23,27,23
"0,0,0,0,0,0,1,1,0,0,3",16,16,16,16,16
"3,0,2,1,3,0,1,2,0,1,0",37,24,24,24,24
"0,0,3,0,2,3,1,2,2,0,2",29,22,22,22,24
"3,0,0,0,0,2,3,1,2,2,2",25,21,21,21,23
"0,3,2,1,1,1,3,2,2,3,0",28,24,27,27,27
"1,3,2,1,3,2,1,3,1,1,3",30,23,23,27,23
"0,0,0,0,0,0,0,0,3,3,1",16,16,16,16,16
"0,0,0,0,0,0,0,0,3,3,0",15,15,15,15,15
"0,3,2,1,1,3,2,2,2,3,3",25,21,23,24,24
"0,3,1,2,0,3,1,0,2,1,0",37,24,24,24,24
"3,2,0,3,0,2,0,3,0,0,3",29,22,22,26,22
"3,2,1,1,1,1,3,2,3,2,0",29,24,27,27,27
"0,0,0,0,0,0,0,0,3,0,1",17,15,15,15,15
"0,2,3,1,1,2,2,3,1,1,3",26,22,24,25,25
"0,0,0,1,3,1,2,3,0,2,2",26,22,22,22,24
"0,0,3,2,3,1,2,0,1,0,1",30,24,24,26,27
"1,3,0,2,3,0,2,3,0,3,0",32,23,23,27,23
"3,0,1,0,2,3,1,0,2,1,0",37,24,24,24,24
"1,3,2,0,1,3,0,0,2,1,0",37,24,24,24,24
"0,3,2,1,1,3,2,2,3,3,2",26,22,24,25,25
"2,2,3,1,0,1,3,0,0,0,3",28,23,23,26,26
"0,0,0,0,0,0,0,0,1,2,0",16,14,14,14,14
"3,0,2,0,3,2,0,3,0,0,3",29,22,22,26,22
"0,0,0,0,0,0,0,1,0,0,3",16,15,15,15,15
"0,0,0,0,0,0,0,1,1,1,3",15,15,15,15,15
"1,0,3,0,0,2,3,1,2,2,2",27,22,22,22,24
"0,0,0,0,0,0,0,1,1,1,2",14,14,14,14,14
"3,2,0,0,3,0,3,2,0,2,0",29,22,22,26,22
"0,3,2,3,1,0,1,2,0,0,2",31,24,24,27,27
"0,3,0,2,3,0,2,3,0,0,3",29,22,22,26,22
"3,1,0,2,1,0,3,0,2,1,0",37,24,24,24,24
"3,2,1,1,3,2,3,0,2,1,0",35,28,29,32,32
"0,0,0,0,0,0,0,0,1,0,2",15,14,14,14,14
"0,0,0,0,0,0,0,1,1,1,0",13,13,13,13,13
"0,0,0,0,0,0,0,1,1,2,3",17,17,17,17,17
"0,0,0,0,0,0,0,1,1,3,2",18,17,17,17,17
"0,3,2,1,0,3,1,2,0,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,3,3,3,1",16,16,16,16,16
"0,3,1,3,2,1,2,0,1,0,1",30,24,24,27,27
"3,2,1,1,1,1,3,2,2,3,2",26,21,24,24,24
"3,2,1,2,3,1,3,0,1,1,0",32,25,26,29,29
"0,0,0,0,1,3,0,2,3,1,2",27,22,22,22,24
"0,0,0,0,0,0,0,2,3,3,3",16,16,16,16,16
"0,3,2,0,3,0,3,2,0,2,0",29,22,22,26,22
"0,3,0,0,0,2,3,1,2,0,2",29,22,22,22,24
"3,2,3,1,2,0,1,0,0,0,0",29,23,23,25,26
"3,2,1,1,1,1,3,2,0,2,3",30,24,27,27,27
"0,0,0,0,0,0,1,1,1,1,1",12,12,12,12,12
"3,0,2,0,3,0,2,3,0,0,3",29,22,22,26,22
"2,1,2,3,0,1,1,3,0,0,3",30,24,24,27,27
"2,3,1,3,1,2,0,3,0,2,3",34,27,27,32,28
"3,0,2,3,0,2,3,0,3,0,0",30,22,22,26,22
"0,1,1,1,3,2,3,0,2,1,0",29,24,24,25,27
"0,0,0,0,0,0,0,0,3,0,3",16,15,15,15,15
"2,3,1,1,2,1,1,3,2,2,3",27,22,25,25,25
"0,0,0,2,1,1,1,3,2,3,2",22,19,21,21,21
"3,2,0,0,3,2,0,3,0,0,3",29,22,22,26,22
"0,2,1,1,1,1,1,3,2,2,3",21,19,21,21,21
"1,3,0,2,0,1,3,0,2,1,0",37,24,24,24,24
"1,3,0,2,1,0,0,3,2,1,0",37,24,24,24,24
"2,0,2,1,3,0,3,1,0,0,0",28,22,22,26,22
"1,0,3,2,0,1,0,3,2,1,0",37,24,24,24,24
"0,3,2,3,1,2,0,1,1,1,0",29,24,24,26,27
"3,0,1,0,2,1,0,3,2,1,0",37,24,24,24,24
"0,1,1,3,2,0,2,3,0,3,0",28,22,23,25,25
"0,3,1,0,2,3,1,0,2,1,0",37,24,24,24,24
"1,3,2,0,3,0,3,2,0,0,2",30,23,23,27,23
"0,0,0,0,0,0,0,2,2,3,3",16,16,16,16,16
"0,0,0,0,0,0,0,1,0,1,2",16,15,15,15,15
"3,2,0,3,0,0,2,3,0,0,3",29,22,22,26,22
"3,0,2,2,3,1,1,0,3,2,0",33,28,28,28,31
"0,0,0,0,0,0,0,1,2,2,2",14,14,14,14,14
"0,3,2,1,1,3,2,2,3,2,3",27,22,24,25,25
"0,0,0,0,0,0,0,0,3,1,0",18,15,15,15,15
"0,0,0,0,0,0,0,0,3,2,1",20,17,17,17,17
"0,2,3,1,2,1,1,3,2,2,3",27,22,24,25,25
"0,3,2,3,1,2,0,1,1,0,0",29,24,24,26,27
"0,0,0,0,0,0,0,0,2,2,3",16,16,16,16,16
"3,0,1,2,3,0,1,2,0,1,0",37,24,24,24,24
"0,3,2,1,1,3,2,3,2,2,2",26,21,23,24,24
"3,2,1,2,3,1,1,1,1,3,1",27,21,23,24,24
"2,1,2,3,1,0,1,3,0,3,0",31,24,24,27,27
"3,2,0,3,0,0,3,2,0,2,0",29,22,22,26,22
