sequence,move to front,opt,opt free,discrete doa,continuous doa
"4,2,1,2,4,1,0,3,2,1,4,2",47,33,34,36,34
"4,2,1,2,4,1,1,0,1,0,1,1",33,26,26,31,27
"4,2,1,2,4,1,2,0,1,2,4,1",41,29,31,35,31
"4,2,1,2,4,1,4,2,0,2,1,0",39,31,32,33,34
"4,2,1,2,4,1,1,4,3,3,4,2",36,31,33,35,34
"4,2,1,2,4,1,0,3,2,1,3,2",45,33,33,38,33
"4,2,1,2,4,1,0,4,4,3,2,4",42,32,33,33,34
"4,2,1,2,4,1,0,3,1,3,0,1",41,32,32,38,33
"4,2,1,2,4,1,3,0,3,4,2,3",45,35,36,36,36
"4,2,1,2,4,1,0,2,1,2,0,1",40,29,30,36,30
"4,2,1,2,4,1,4,0,0,0,2,3",38,33,34,34,34
"4,2,1,2,4,1,1,1,2,2,1,2",31,24,26,28,26
"4,2,1,2,4,1,0,4,4,3,4,4",37,30,31,32,33
"4,2,1,2,4,1,2,3,0,1,2,4",47,33,34,36,34
"4,2,1,2,4,1,0,3,3,2,0,4",44,37,37,38,37
"4,2,1,2,4,1,0,2,3,2,3,4",43,34,35,35,35
"4,2,1,2,4,1,3,2,4,0,1,2",48,33,34,36,34
"4,2,1,2,4,1,3,1,4,4,1,3",37,30,32,36,33
"4,2,1,2,4,1,0,3,2,3,1,2",44,33,33,38,33
"4,2,1,2,4,1,0,3,2,0,1,2",45,33,33,37,33
"4,2,1,2,4,1,0,0,2,2,3,1",40,33,33,36,33
"4,2,1,2,4,1,4,4,1,3,3,0",37,32,33,36,34
"4,2,1,2,4,1,2,0,3,4,2,1",47,33,34,36,34
"4,2,1,2,4,1,3,1,1,4,3,4",37,29,31,35,32
"4,2,1,2,4,1,0,4,4,3,4,2",41,32,33,33,34
"4,2,1,2,4,1,0,3,3,3,0,4",38,33,33,35,35
"4,2,1,2,4,1,4,0,1,4,2,1",40,29,31,35,32
"4,2,1,2,4,1,4,0,2,1,0,0",39,30,31,33,34
"4,2,1,2,4,1,3,0,0,4,3,3",40,33,33,36,36
"4,2,1,2,4,1,1,4,4,3,3,0",36,31,32,35,34
"4,2,1,2,4,1,0,1,1,1,1,0",32,26,26,31,27
"4,2,1,2,4,1,1,3,3,4,4,3",34,29,31,33,32
"4,2,1,2,4,1,1,3,3,1,1,4",34,29,31,33,32
"4,2,1,2,4,1,0,2,4,3,0,4",45,34,35,35,35
"4,2,1,2,4,1,2,1,2,2,0,2",35,27,27,31,27
"4,2,1,2,4,1,4,0,3,1,3,1",40,31,32,37,35
"4,2,1,2,4,1,2,1,3,4,4,3",38,30,33,35,33
"4,2,1,2,4,1,0,1,1,0,0,0",32,26,26,31,27
"4,2,1,2,4,1,3,4,0,2,4,1",47,33,35,36,35
"4,2,1,2,4,1,1,4,3,3,3,2",35,30,32,34,33
"4,2,1,2,4,1,0,0,0,0,4,2",35,30,30,31,30
"4,2,1,2,4,1,0,0,0,2,2,0",34,28,28,30,28
"4,2,1,2,4,1,2,3,2,0,4,2",44,32,33,33,33
"4,2,1,2,4,1,4,2,3,3,0,0",38,33,34,34,34
"4,2,1,2,4,1,0,3,2,4,0,4",46,34,35,35,35
"4,2,1,2,4,1,0,4,3,1,1,3",40,31,32,37,34
"4,2,1,2,4,1,3,3,1,1,1,4",34,29,31,33,32
"4,2,1,2,4,1,2,0,3,3,0,4",41,35,35,36,35
"4,2,1,2,4,1,0,2,1,2,2,2",36,27,27,31,27
"4,2,1,2,4,1,1,4,3,3,2,0",39,34,36,38,37
"4,2,1,2,4,1,0,1,2,1,0,0",37,28,28,33,29
"4,2,1,2,4,1,0,3,4,0,3,2",45,37,37,38,37
"4,2,1,2,4,1,2,3,3,4,0,2",43,35,36,36,36
"4,2,1,2,4,1,2,3,4,1,2,1",43,30,32,35,32
"4,2,1,2,4,1,1,4,4,2,2,3",34,29,31,33,32
