sequence,move to front,opt,opt free,discrete doa,continuous doa
"3,2,1,1,1,3,2,3,0,2,0,2",33,26,29,30,30
"0,0,0,0,0,0,0,0,0,0,3,2",18,17,17,17,17
"3,2,1,2,3,1,3,0,1,1,0,1",34,26,27,30,30
"0,0,1,3,1,1,1,2,3,0,2,2",27,23,23,23,25
"3,2,1,1,1,3,2,2,2,3,2,2",27,22,25,25,25
"2,3,1,0,2,3,1,0,2,1,0,0",42,27,27,27,27
"2,3,1,3,2,1,3,2,1,2,3,1",36,27,29,32,29
"0,0,0,1,0,3,0,2,3,1,2,2",28,23,23,23,25
"0,0,0,0,0,0,0,0,0,1,1,2",15,15,15,15,15
"3,2,3,0,2,1,0,2,0,2,0,1",35,27,27,32,28
"3,1,3,1,1,2,0,2,3,0,1,3",36,29,30,31,33
"3,0,0,0,0,0,0,2,3,1,2,2",26,22,22,22,24
"3,2,1,0,3,1,2,0,3,1,2,0",47,30,30,30,30
"0,0,1,1,1,3,1,2,3,0,2,2",27,23,23,23,25
"0,3,2,1,1,1,1,1,3,2,3,2",27,22,25,25,25
"0,0,0,0,0,0,0,0,2,2,1,3",19,19,19,19,19
"2,3,1,3,1,3,2,0,1,0,1,2",35,28,29,32,32
"3,0,2,3,0,3,2,1,0,1,2,0",37,28,28,33,28
"0,0,0,0,0,0,0,1,1,1,0,0",14,14,14,14,14
"0,0,0,0,0,0,0,0,0,3,2,2",18,17,17,17,17
"0,0,0,0,0,0,0,0,0,1,3,3",16,16,16,16,16
"0,0,0,0,0,0,0,0,0,2,3,2",18,17,17,17,17
"0,0,0,0,0,0,0,0,3,3,3,1",17,17,17,17,17
"3,2,3,0,2,1,0,0,2,1,0,2",36,27,27,32,28
"0,2,1,2,3,1,3,0,1,1,0,1",30,24,24,27,27
"0,0,0,1,1,1,3,1,2,3,0,2",27,23,23,23,25
"3,2,1,1,3,2,3,0,1,0,2,1",38,29,30,33,33
"0,0,0,0,0,0,0,0,0,1,1,1",13,13,13,13,13
"0,0,0,0,3,2,3,1,2,0,1,1",29,24,24,25,27
"2,1,1,3,1,3,2,0,1,0,2,1",34,27,27,32,28
