sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,0,3,1,0",12,9,9,9,9
"3,1,3,0,1",15,12,12,13,13
"4,2,3,0,1",23,15,15,15,15
"3,4,1,1,4",16,14,15,15,15
"0,0,3,1,1",10,9,9,9,9
"0,0,1,2,4",12,12,12,12,12
"3,1,1,3,0",13,12,12,13,13
"0,3,2,1,3",16,13,13,14,14
"0,4,3,4,3",15,13,14,14,14
"3,2,1,4,0",22,15,15,15,15
"3,2,0,0,2",14,11,11,12,11
"3,4,2,0,1",23,15,15,15,15
"0,0,1,1,4",10,10,10,10,10
"0,1,1,1,1",6,6,6,6,6
"3,2,1,0,3",20,14,14,14,14
"3,1,2,0,0",16,11,11,11,11
"2,3,0,2,0",15,11,11,12,11
"0,2,2,1,4",13,13,13,13,13
"3,0,1,2,0",16,11,11,11,11
"0,4,3,2,1",21,15,15,15,15
"1,2,0,0,2",11,9,9,10,9
"3,0,2,1,0",17,11,11,11,11
"4,2,1,4,2",19,15,16,17,16
"4,0,0,0,4",11,10,10,11,10
"0,0,0,1,0",7,6,6,6,6
"0,0,0,2,2",7,7,7,7,7
"4,2,1,2,1",17,13,14,14,14
"1,3,0,0,3",12,10,10,11,10
"0,1,2,3,4",15,15,15,15,15
"0,3,1,2,3",15,13,13,14,14
"2,1,3,0,1",17,12,12,12,12
"0,1,1,1,4",10,10,10,10,10
"0,0,0,0,0",5,5,5,5,5
"0,0,2,1,3",12,11,11,11,11
"0,0,3,4,4",12,12,12,12,12
"0,4,2,1,4",17,14,14,14,15
"3,1,4,2,3",21,17,17,18,18
"0,1,4,4,4",10,10,10,10,10
"4,1,3,2,4",22,18,18,19,19
"0,0,3,4,2",16,14,14,14,14
"3,1,3,1,2",15,13,14,14,14
"1,0,3,1,0",14,10,10,10,10
"4,1,3,0,1",20,14,14,14,14
"4,1,2,4,4",16,14,14,14,15
"0,0,2,0,1",10,8,8,8,8
"0,0,0,1,3",9,9,9,9,9
"0,1,1,0,0",7,7,7,7,7
"3,0,2,0,3",15,12,12,13,12
"3,0,2,3,3",14,12,12,13,12
"0,1,4,4,3",14,14,14,14,14
"4,1,1,4,4",12,11,12,12,12
"3,2,0,2,3",16,13,14,14,14
"2,3,4,1,0",22,15,15,15,15
"4,1,0,2,0",17,12,12,12,12
"0,4,1,2,4",16,14,14,14,15
"0,0,1,0,4",11,10,10,10,10
"0,0,0,3,2",11,10,10,10,10
"3,2,1,0,0",17,11,11,11,11
"4,0,3,1,0",19,13,13,13,13
"4,2,2,2,4",13,12,13,13,13
"1,3,1,1,3",11,10,10,11,10
"0,0,3,2,0",13,10,10,10,10
"4,0,0,4,1",13,12,12,13,12
"4,2,3,1,4",23,18,18,19,19
"0,0,0,4,3",13,12,12,12,12
"0,0,1,4,3",14,13,13,13,13
"4,2,3,0,4",22,17,17,18,18
"0,0,0,4,1",11,10,10,10,10
"0,0,1,1,1",6,6,6,6,6
"3,2,1,1,3",16,13,14,14,14
"4,0,0,4,4",11,10,10,11,10
"0,0,2,3,4",14,14,14,14,14
"0,3,1,0,3",14,11,11,12,11
"3,1,3,4,1",17,14,15,15,15
"0,1,1,0,2",9,9,9,9,9
"0,1,1,2,4",12,12,12,12,12
"2,0,0,2,1",11,10,10,11,10
"0,1,4,4,1",11,11,11,11,11
"0,2,3,3,2",11,11,11,11,11
"0,0,0,4,2",12,11,11,11,11
"0,0,1,2,0",10,8,8,8,8
"2,1,0,1,0",13,9,9,9,9
"1,2,1,2,1",11,9,9,10,9
"3,2,1,0,1",18,12,12,12,12
"0,1,2,2,2",8,8,8,8,8
"0,0,0,3,4",12,12,12,12,12
"3,1,0,2,0",16,11,11,11,11
"1,2,3,0,1",17,12,12,12,12
"3,2,3,0,2",16,13,14,15,14
"0,0,3,3,3",8,8,8,8,8
"3,2,0,0,1",16,11,11,11,11
"0,1,1,2,2",8,8,8,8,8
"0,0,3,4,3",13,12,12,12,12
"1,4,2,2,4",14,13,14,14,14
"4,1,1,1,4",12,11,12,12,12
"0,0,3,0,1",11,9,9,9,9
"3,1,0,0,3",14,11,11,12,11
"3,1,2,3,3",15,13,13,14,14
"4,2,0,0,1",17,12,12,12,12
"0,0,3,1,3",11,10,10,10,10
"4,3,1,2,4",23,18,18,19,19
"0,1,1,2,3",11,11,11,11,11
"0,0,0,4,4",9,9,9,9,9
"3,1,3,1,0",14,12,12,13,13
"4,2,1,0,2",20,14,14,14,14
"4,3,3,4,3",15,13,14,14,14
"0,0,1,0,0",7,6,6,6,6
"0,2,2,2,3",10,10,10,10,10
"4,3,0,2,4",22,17,17,18,18
"4,3,2,0,1",24,15,15,15,15
"4,3,3,3,4",14,13,14,14,14
"0,1,2,2,3",11,11,11,11,11
"0,3,2,2,3",12,11,12,12,12
"0,4,3,3,4",14,13,14,14,14
"2,0,2,0,4",14,12,12,13,12
"3,4,2,1,3",23,17,17,18,18
"2,4,0,2,0",16,12,12,13,12
"0,0,4,4,4",9,9,9,9,9
"0,0,0,0,2",7,7,7,7,7
"4,3,0,2,1",23,15,15,15,15
"0,4,1,2,0",17,12,12,12,12
"0,2,3,3,4",14,14,14,14,14
"0,0,3,0,4",13,12,12,12,12
"3,0,3,0,0",11,9,9,10,9
