sequence,move to front,opt,opt free,discrete doa,continuous doa
"3,2,0,3,3,3",16,13,13,14,14
"3,2,0,3,0,2",19,14,15,16,15
"1,4,3,0,2,1",26,17,17,17,17
"0,4,2,1,3,0",24,16,16,16,16
"4,2,3,1,0,0",25,16,16,16,16
"2,2,1,0,0,1",13,12,12,13,13
"0,0,0,0,1,3",10,10,10,10,10
"2,0,0,0,0,2",10,9,9,10,9
"2,1,1,2,0,1",15,12,12,13,13
"4,1,3,0,2,1",26,17,17,17,17
"4,1,3,3,4,1",20,17,19,19,19
"0,0,1,2,4,4",13,13,13,13,13
"0,0,0,2,0,4",13,12,12,12,12
"1,1,4,0,2,4",18,16,16,16,17
"0,0,0,1,2,1",10,9,9,9,9
"0,3,4,2,1,0",25,16,16,16,16
"1,2,0,0,2,2",12,10,10,11,10
"0,0,0,2,4,0",14,12,12,12,12
"4,2,1,1,2,4",19,16,18,19,18
"3,0,2,1,0,0",18,12,12,12,12
"4,0,2,3,1,0",25,16,16,16,16
"0,3,2,0,1,0",18,12,12,12,12
"3,2,0,0,2,3",17,14,15,16,15
"2,0,4,2,1,4",20,17,17,17,18
"0,0,0,0,3,0",10,9,9,9,9
"1,4,0,2,1,0",21,14,14,14,14
"0,0,0,3,4,2",17,15,15,15,15
"3,0,2,3,3,3",15,13,13,14,14
"0,0,0,0,3,1",11,10,10,10,10
"0,4,3,0,2,1",24,16,16,16,16
"0,0,2,2,1,4",14,14,14,14,14
"0,0,0,0,0,4",10,10,10,10,10
"0,0,2,2,4,4",12,12,12,12,12
"0,3,1,1,3,1",13,11,12,12,12
"3,1,3,0,1,1",16,13,13,14,14
"4,3,4,2,3,2",22,18,20,20,20
"0,0,2,3,4,4",15,15,15,15,15
"0,0,4,2,1,4",18,15,15,15,16
"0,0,0,3,3,4",13,13,13,13,13
"3,4,2,1,0,1",26,17,17,17,17
"2,1,2,1,1,1",12,10,11,11,11
"3,0,0,3,3,3",11,10,10,11,10
"0,0,2,4,4,4",12,12,12,12,12
"3,2,3,4,1,2",24,19,20,21,21
"3,2,1,2,3,1",20,15,17,17,17
"0,0,2,3,3,4",15,15,15,15,15
"1,3,0,0,2,3",17,14,14,15,15
"0,0,0,2,1,2",11,10,10,10,10
"4,1,0,1,4,0",19,14,14,17,14
"1,0,4,2,1,4",20,16,16,16,17
"0,0,1,2,2,1",10,10,10,10,10
"3,1,0,2,1,0",20,13,13,13,13
"2,0,0,2,0,2",12,10,10,11,10
"4,3,1,1,3,4",20,17,20,20,20
"3,4,2,0,1,0",25,16,16,16,16
"1,3,2,3,0,2",19,15,16,17,16
"0,0,0,3,4,4",13,13,13,13,13
"4,3,3,2,4,2",21,18,20,20,20
"3,4,1,2,0,1",26,17,17,17,17
"2,3,4,1,0,2",27,18,18,18,18
"3,3,4,1,0,4",21,18,18,18,19
"0,2,1,2,1,1",12,10,11,11,11
"3,2,1,1,3,2",19,15,17,17,17
"4,1,2,4,3,3",21,19,19,19,20
"0,0,0,3,3,0",10,10,10,10,10
"1,0,2,1,1,2",13,11,11,12,12
"0,0,0,1,1,3",10,10,10,10,10
"3,2,1,1,2,3",18,15,17,17,17
"0,0,3,3,0,0",10,10,10,10,10
"0,0,2,2,0,1",11,11,11,11,11
"0,0,0,2,3,3",11,11,11,11,11
"0,0,0,1,4,3",15,14,14,14,14
"4,2,3,1,0,2",28,18,18,18,18
"0,0,3,1,1,3",12,11,12,12,12
"0,3,0,0,3,3",11,10,10,11,10
"0,0,0,1,0,1",9,8,8,8,8
"3,2,0,3,0,0",17,13,13,14,14
"4,1,0,0,1,4",17,14,14,17,14
"0,0,0,2,0,3",12,11,11,11,11
"1,0,4,2,1,0",21,14,14,14,14
"3,0,4,1,2,0",24,16,16,16,16
"0,0,3,0,0,3",11,10,10,11,10
"2,1,1,1,2,2",11,10,11,11,11
"2,4,3,0,1,2",27,18,18,18,18
"0,3,4,2,0,1",24,16,16,16,16
"0,0,0,3,3,1",11,11,11,11,11
"4,3,4,1,1,3",20,17,19,19,19
"1,3,2,0,1,0",20,13,13,13,13
"3,1,3,1,0,1",16,13,13,14,14
"3,0,2,4,1,0",24,16,16,16,16
"1,1,3,1,2,3",16,14,14,15,15
"4,2,0,3,1,0",25,16,16,16,16
"2,3,1,1,3,2",17,15,17,17,17
"3,1,1,3,0,1",16,13,13,14,14
"3,2,0,1,2,0",21,14,14,14,14
"0,0,0,3,2,2",12,11,11,11,11
"4,1,1,3,3,4",18,16,18,18,18
"3,4,0,3,0,4",20,16,16,18,16
