sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,0,0,3,3,2",12,12,12,12,12
"0,0,0,1,0,1",9,8,8,8,8
"4,2,0,0,2,4",18,15,16,18,16
"0,0,0,0,3,5",14,14,14,14,14
"0,0,1,2,2,3",12,12,12,12,12
"4,0,0,1,1,4",15,13,13,15,13
"2,4,0,4,0,2",18,15,15,17,15
"3,4,1,3,1,4",21,17,19,19,19
"4,3,2,1,0,0",26,16,16,16,16
"0,5,3,4,2,5",28,23,23,25,25
"4,1,2,1,4,2",20,16,17,19,17
"5,3,2,2,3,5",22,19,22,22,22
"0,0,0,1,2,4",13,13,13,13,13
"0,0,0,2,1,0",12,9,9,9,9
"2,3,1,3,2,1",19,15,17,18,17
"3,5,2,4,1,0",33,21,21,21,21
"4,0,3,1,4,3",23,18,19,19,20
"1,0,2,1,2,1",14,11,11,12,12
"1,1,4,0,2,4",18,16,16,16,17
"3,5,0,1,3,5",25,20,20,23,20
"4,2,3,0,1,0",25,16,16,16,16
"3,0,4,3,1,4",21,18,18,18,19
"0,0,0,1,4,3",15,14,14,14,14
"1,1,5,2,0,5",20,17,17,17,18
"0,0,0,0,5,4",16,15,15,15,15
"5,3,4,2,0,1",34,21,21,21,21
"0,0,0,1,1,4",11,11,11,11,11
"4,1,2,4,4,3",21,19,19,19,20
"4,1,3,1,4,3",21,17,19,19,19
"0,0,0,2,2,0",9,9,9,9,9
"3,2,1,1,2,3",18,15,17,17,17
"3,1,3,1,1,0",15,13,13,14,14
"0,0,0,3,3,0",10,10,10,10,10
"4,2,1,4,3,4",23,19,19,19,20
"3,0,5,3,1,5",22,19,19,19,20
"4,3,3,1,1,4",19,17,19,19,19
"4,2,3,1,0,0",25,16,16,16,16
"5,4,2,2,4,5",23,20,23,23,23
"1,4,3,2,0,1",27,17,17,17,17
"0,0,0,5,5,5",11,11,11,11,11
"5,3,4,1,5,5",27,22,22,24,24
"4,1,0,4,1,0",20,14,14,16,14
"0,0,0,0,1,4",11,11,11,11,11
"0,0,0,5,5,0",12,12,12,12,12
"5,3,0,0,5,3",21,17,18,20,18
"5,4,3,2,1,0",36,21,21,21,21
"5,3,2,0,1,0",27,17,17,17,17
"4,2,0,2,0,4",19,15,16,18,16
"2,4,0,4,2,0",19,15,15,17,15
"0,0,0,4,4,5",15,15,15,15,15
"4,0,1,4,1,0",18,14,14,16,14
"5,4,2,3,1,0",35,21,21,21,21
"2,3,1,3,1,2",18,15,17,17,17
"0,0,0,0,3,0",10,9,9,9,9
"3,5,1,3,5,1",23,18,20,21,20
"5,0,1,2,1,5",21,17,17,19,17
"2,1,2,1,1,0",14,12,12,13,13
"3,4,0,3,0,4",20,16,16,18,16
"0,5,1,3,4,5",25,22,22,24,24
"1,1,4,0,4,0",15,13,13,14,14
"3,0,5,2,1,5",25,19,19,19,20
"0,0,0,0,4,3",14,13,13,13,13
"3,4,0,2,1,0",25,16,16,16,16
"5,0,1,5,0,1",20,15,15,17,15
"4,2,1,1,2,4",19,16,18,19,18
"0,0,0,2,2,4",12,12,12,12,12
"5,0,0,1,5,1",17,14,14,16,14
"3,2,1,2,1,3",19,15,17,17,17
"4,1,3,2,0,1",27,17,17,17,17
"4,0,2,0,4,2",19,15,16,18,16
"5,3,1,3,1,5",22,18,21,21,21
"5,2,1,5,0,5",23,17,17,17,18
"0,0,1,1,3,5",15,15,15,15,15
"0,0,0,2,2,1",10,10,10,10,10
"5,4,2,1,0,0",28,18,18,18,18
"0,4,1,2,4,5",22,20,20,20,21
"4,3,5,2,0,1",33,21,21,21,21
"4,2,1,4,4,4",18,15,15,15,16
"5,4,1,4,5,1",24,19,22,23,22
"0,0,1,2,3,5",17,17,17,17,17
"4,3,0,3,4,0",21,16,17,19,17
"4,2,1,4,4,3",22,19,19,19,20
"0,5,3,2,4,5",27,23,23,25,25
"4,4,3,1,0,3",22,19,19,19,20
"1,0,5,2,1,5",21,17,17,17,18
"0,4,2,1,4,3",22,19,19,19,20
"0,4,3,2,1,0",26,16,16,16,16
"0,0,0,1,4,2",14,13,13,13,13
"4,5,1,2,5,4",27,23,23,23,25
"0,0,0,0,1,1",7,7,7,7,7
"0,0,1,1,1,1",7,7,7,7,7
"0,0,0,2,3,5",16,16,16,16,16
"0,0,0,1,2,3",12,12,12,12,12
"0,4,1,2,4,3",21,19,19,19,20
"0,0,0,2,2,5",13,13,13,13,13
"4,3,1,0,2,0",25,16,16,16,16
"3,5,2,1,3,5",28,22,22,25,24
"4,0,2,4,1,2",21,17,17,19,19
"0,4,1,2,4,4",17,15,15,15,16
"5,3,2,1,0,0",27,17,17,17,17
"2,2,3,0,3,0",15,13,13,14,14
"3,3,5,0,1,5",21,19,19,19,20
"0,0,0,1,5,4",17,16,16,16,16
"3,5,2,1,5,3",27,22,22,23,24
"4,5,3,2,0,1",34,21,21,21,21
"5,3,1,1,5,3",22,18,21,21,21
"0,0,0,0,2,4",12,12,12,12,12
"2,4,0,0,4,2",17,15,15,17,15
"5,3,2,3,2,5",23,19,22,22,22
"3,1,1,3,0,1",16,13,13,14,14
"3,5,0,2,3,5",26,21,21,24,21
"0,0,0,4,4,3",14,14,14,14,14
"5,3,0,5,0,3",22,17,18,20,18
"4,0,2,3,1,0",25,16,16,16,16
"5,1,2,5,5,5",18,16,16,16,17
"0,2,1,1,2,0",13,12,12,13,13
"4,2,1,2,4,1",21,16,18,20,18
"0,0,0,2,3,0",13,11,11,11,11
"1,3,2,0,1,0",20,13,13,13,13
"4,3,0,0,4,3",20,16,17,19,17
"0,0,0,0,5,5",11,11,11,11,11
"5,4,0,3,2,1",33,21,21,21,21
"4,3,4,1,3,1",21,17,19,19,19
"5,4,2,0,1,0",28,18,18,18,18
"4,3,4,1,1,3",20,17,19,19,19
"0,4,2,1,5,4",24,20,20,20,21
"4,2,4,1,1,2",19,16,18,18,18
"2,1,2,1,0,0",14,12,12,13,13
"4,3,5,2,1,0",34,21,21,21,21
"1,5,3,2,4,5",28,24,24,26,26
"3,1,3,0,0,1",16,13,13,14,14
"1,0,3,1,3,1",15,12,12,13,13
"4,3,1,1,4,3",21,17,20,20,20
"4,3,0,3,0,4",20,16,17,19,17
"0,4,1,5,2,4",24,20,20,20,21
"3,1,3,1,0,1",16,13,13,14,14
"3,1,3,0,1,1",16,13,13,14,14
"4,1,2,4,4,0",20,16,16,16,17
"3,2,0,3,2,1",21,17,17,17,18
"5,2,0,5,0,2",21,16,17,19,17
"0,5,1,4,3,5",26,22,22,24,24
"0,0,5,1,2,5",18,16,16,16,17
"4,2,1,4,0,4",22,16,16,16,17
"0,0,0,0,4,0",11,10,10,10,10
"5,3,4,2,5,5",28,23,23,25,25
"2,5,1,2,1,5",21,17,19,19,19
"5,3,1,5,1,3",23,18,21,21,21
"0,0,0,0,2,3",11,11,11,11,11
"0,5,2,0,1,5",22,17,17,19,17
"2,2,1,0,0,1",13,12,12,13,13
"5,1,2,5,5,0",21,17,17,17,18
"5,2,1,5,2,1",23,17,19,20,19
"2,0,4,2,1,4",20,17,17,17,18
"2,4,1,4,1,2",19,16,18,18,18
"1,1,2,0,0,2",12,11,11,12,12
"3,2,2,0,3,1",19,17,17,17,18
"2,4,1,1,4,2",18,16,18,18,18
"5,4,2,3,0,1",34,21,21,21,21
"3,1,2,0,1,0",20,13,13,13,13
"0,0,5,2,1,5",19,16,16,16,17
"4,5,2,3,1,0",34,21,21,21,21
"5,2,4,3,0,1",33,21,21,21,21
"5,2,1,5,1,2",22,17,19,20,19
"3,2,0,2,3,1",20,17,17,17,18
"4,5,1,4,5,1",24,19,21,22,21
"1,3,0,2,1,0",20,13,13,13,13
"4,2,1,4,4,0",21,16,16,16,17
"2,4,3,1,0,2",28,18,18,18,18
"0,0,0,1,1,3",10,10,10,10,10
"4,5,1,5,4,1",23,19,21,22,21
"4,1,0,1,4,0",19,14,14,17,14
"4,5,3,2,1,0",35,21,21,21,21
"5,4,2,1,4,5",29,23,24,25,26
"4,1,2,4,3,3",21,19,19,19,20
"5,4,1,5,1,4",24,19,22,22,22
"3,1,3,1,0,0",15,13,13,14,14
"0,0,0,4,4,0",11,11,11,11,11
"3,4,0,0,3,4",19,16,16,18,16
"4,3,2,2,4,3",22,18,21,21,21
"5,0,1,1,2,5",20,17,17,19,17
"5,1,1,0,5,0",18,15,15,17,15
"5,3,1,4,2,0",33,21,21,21,21
"5,0,1,2,2,5",20,17,17,19,17
"4,3,0,4,0,3",21,16,17,19,17
"4,3,0,2,1,0",26,16,16,16,16
"2,5,1,3,4,5",28,24,24,26,26
"2,5,0,0,5,2",18,16,16,18,16
"0,5,2,1,5,3",23,20,20,20,21
"5,3,2,5,3,2",25,19,22,22,22
"5,3,2,4,0,1",33,21,21,21,21
"5,0,1,2,0,5",22,17,17,19,17
"0,0,0,2,4,4",12,12,12,12,12
"5,1,0,0,1,5",18,15,15,18,15
"4,0,5,1,4,5",24,20,20,20,21
"0,0,1,2,3,3",12,12,12,12,12
"2,3,0,0,3,2",16,14,14,16,14
"0,0,0,2,2,3",11,11,11,11,11
"2,4,0,2,4,0",20,15,15,17,15
"4,3,0,0,3,4",19,16,17,19,17
"0,0,0,3,3,3",9,9,9,9,9
"0,0,0,0,3,3",9,9,9,9,9
"3,2,1,2,3,1",20,15,17,17,17
"2,4,1,2,1,4",20,16,18,18,18
"5,4,1,3,2,0",34,21,21,21,21
"0,3,4,1,2,4",22,18,18,18,19
"2,3,0,2,0,3",18,14,14,16,14
"5,2,4,3,5,5",27,23,23,25,25
"5,4,3,5,4,3",27,21,24,24,24
"0,5,1,2,5,3",22,20,20,20,21
"3,4,1,2,4,3",25,21,21,22,23
"5,3,0,3,0,5",21,17,18,20,18
"4,3,0,1,2,0",25,16,16,16,16
"3,2,3,1,1,2",18,15,17,17,17
"0,0,0,0,5,2",14,13,13,13,13
"2,5,1,2,5,1",22,17,19,20,19
"0,3,5,1,2,5",23,19,19,19,20
"0,0,1,1,1,2",9,9,9,9,9
"5,3,2,2,5,3",23,19,22,22,22
"0,0,0,0,3,1",11,10,10,10,10
"0,0,0,1,0,4",12,11,11,11,11
"5,1,1,3,3,5",19,17,19,19,19
"3,4,0,3,4,0",21,16,16,18,16
"1,1,5,0,2,5",19,17,17,17,18
"4,5,3,1,2,0",34,21,21,21,21
"0,0,0,2,1,5",15,14,14,14,14
"0,0,0,0,3,4",13,13,13,13,13
"0,3,5,2,1,5",24,19,19,19,20
"3,4,0,4,3,0",20,16,16,18,16
"4,2,1,4,4,5",23,20,20,20,21
"3,5,0,0,3,5",20,17,17,19,17
"2,1,1,2,0,0",13,12,12,13,13
"4,3,2,0,1,0",26,16,16,16,16
"2,5,1,5,1,2",20,17,19,19,19
"0,5,4,2,3,5",28,23,23,25,25
"0,0,1,1,2,2",9,9,9,9,9
"0,0,0,2,0,0",9,8,8,8,8
"5,0,1,1,0,5",17,15,15,17,15
"4,1,1,3,4,3",19,16,18,18,18
"0,0,4,1,2,4",17,15,15,15,16
"0,0,0,1,4,5",16,16,16,16,16
"2,5,4,3,1,5",31,24,24,26,26
"4,0,3,4,1,3",22,18,19,19,20
"0,0,0,1,1,0",8,8,8,8,8
"0,0,0,1,2,1",10,9,9,9,9
"4,3,0,2,0,1",25,16,16,16,16
"4,2,3,1,0,2",28,18,18,18,18
"2,3,1,2,3,1",20,15,17,17,17
"5,3,0,0,3,5",20,17,18,20,18
"4,0,1,0,4,1",18,14,14,16,14
"5,0,1,5,1,0",19,15,15,17,15
"5,3,2,4,5,5",27,23,23,25,25
"0,0,1,1,5,5",12,12,12,12,12
"4,1,1,3,3,4",18,16,18,18,18
"3,4,1,2,4,4",22,18,18,18,19
"3,3,4,1,0,4",21,18,18,18,19
"3,3,1,0,0,1",14,13,13,14,14
"0,5,4,2,1,4",26,20,20,20,21
"2,3,0,2,3,0",19,14,14,16,14
"1,1,3,0,3,0",14,12,12,13,13
"4,1,3,4,3,1",21,17,19,19,19
"2,1,2,0,1,1",15,12,12,13,13
"2,0,4,1,2,4",21,17,17,17,18
"0,0,1,1,1,0",8,8,8,8,8
"0,0,0,1,3,5",15,15,15,15,15
"4,0,5,2,1,5",26,20,20,20,21
"2,0,5,1,2,5",22,18,18,18,19
"4,1,1,0,4,0",17,14,14,16,14
"2,5,1,1,5,2",19,17,19,19,19
"4,0,2,4,0,2",20,15,16,18,16
"4,5,3,0,2,1",33,21,21,21,21
"1,1,4,0,0,4",14,13,13,14,14
"0,0,0,2,3,2",12,11,11,11,11
"3,4,1,4,1,3",20,17,19,19,19
"0,0,0,3,4,5",18,18,18,18,18
"0,0,0,0,4,5",15,15,15,15,15
"0,0,0,2,4,3",16,15,15,15,15
"0,0,1,2,2,5",14,14,14,14,14
"0,0,1,1,0,3",11,11,11,11,11
"2,5,0,0,2,5",19,16,16,18,16
"0,3,1,3,0,1",16,13,13,14,14
"0,0,0,1,3,1",11,10,10,10,10
