sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,0,0,0,2,4,2",14,13,13,13,13
"4,1,0,1,0,0,4",19,15,15,18,15
"1,4,0,3,2,0,1",28,18,18,18,18
"3,4,0,3,0,3,4",22,18,18,21,18
"4,3,1,3,1,4,2",26,22,24,25,25
"2,4,1,4,2,0,1",25,20,20,22,22
"4,2,0,2,0,4,1",23,19,19,22,20
"0,0,0,0,1,2,3",13,13,13,13,13
"4,3,2,1,0,1,1",28,18,18,18,18
"3,4,0,2,3,1,2",29,21,21,21,23
"1,0,0,4,2,1,4",21,17,17,17,18
"3,2,1,0,2,1,0",25,16,16,16,16
"0,0,0,0,1,2,1",11,10,10,10,10
"2,2,4,0,1,4,4",20,18,18,18,19
"2,3,1,3,2,1,1",20,16,18,19,18
"4,2,0,4,0,2,2",21,16,17,19,17
"4,2,0,2,4,0,1",24,19,19,22,20
"4,3,1,2,0,0,1",28,18,18,18,18
"0,0,0,2,3,3,4",16,16,16,16,16
"3,4,0,3,0,4,3",23,18,18,21,18
"3,0,2,3,1,4,2",26,21,21,21,23
"4,3,1,1,3,1,4",22,18,21,21,21
"3,0,2,3,2,1,1",20,17,17,17,18
"0,0,0,2,2,3,3",12,12,12,12,12
"2,4,1,4,1,2,0",23,20,20,22,22
"0,0,0,0,2,3,0",14,12,12,12,12
"3,4,2,1,4,4,3",27,22,22,23,24
"0,3,2,0,3,1,2",23,18,18,18,19
"4,3,2,2,4,3,3",23,19,22,22,22
"0,0,0,1,4,4,2",15,15,15,15,15
"2,4,1,2,1,4,0",24,20,20,22,22
"0,4,1,3,2,0,1",28,18,18,18,18
"0,4,1,0,0,4,1",19,15,15,17,15
"0,2,0,4,2,1,4",21,18,18,18,19
"4,3,1,3,4,1,2",27,22,24,26,25
"3,2,0,0,3,1,2",23,18,18,18,19
"0,0,0,0,4,4,0",12,12,12,12,12
"2,3,1,1,3,3,2",18,16,18,18,18
"4,1,0,1,0,4,3",23,19,19,22,19
"0,0,0,0,3,2,0",15,12,12,12,12
"4,3,2,0,1,0,1",28,18,18,18,18
"4,3,2,4,2,0,3",28,22,24,25,25
"0,0,0,0,0,2,1",11,10,10,10,10
"0,2,3,1,3,2,1",20,16,18,19,18
"0,4,3,2,3,2,4",23,19,22,22,22
"0,0,4,1,2,4,4",18,16,16,16,17
"4,0,2,0,4,2,0",22,16,17,19,17
"0,3,0,2,2,3,1",19,17,17,17,18
"0,4,3,1,3,4,1",23,18,21,22,21
"4,1,3,0,1,2,0",28,18,18,18,18
"4,3,2,2,4,2,3",24,19,22,22,22
"1,4,3,2,2,4,3",24,20,23,23,23
"0,0,0,0,2,2,4",13,13,13,13,13
"2,4,0,2,0,2,4",21,17,17,20,17
"3,0,2,3,4,1,2",27,21,21,21,23
"4,2,0,2,4,0,0",21,16,17,19,17
"3,4,1,2,3,4,3",28,22,22,24,24
"4,3,1,3,1,1,4",22,18,21,21,21
"4,3,2,2,3,2,4",23,19,22,22,22
"0,3,2,1,1,3,2",20,16,18,18,18
"3,2,0,3,0,2,3",22,17,17,20,17
"3,2,1,4,3,3,4",24,20,20,22,22
"3,0,2,3,1,2,0",24,18,18,18,19
"3,0,0,2,3,2,1",20,17,17,17,18
"2,0,4,1,2,4,4",22,18,18,18,19
"4,0,2,4,1,3,2",27,22,22,24,24
"0,0,0,2,1,1,2",12,11,12,12,12
"3,0,0,2,2,3,1",19,17,17,17,18
"1,4,3,0,2,0,1",28,18,18,18,18
"4,0,2,4,1,2,3",26,22,22,24,24
"1,3,0,2,3,1,2",23,18,18,18,20
"0,0,0,0,1,1,0",9,9,9,9,9
"0,2,0,4,1,2,4",22,18,18,18,19
"4,3,1,4,3,1,0",27,21,22,24,24
"0,0,0,4,2,1,4",19,16,16,16,17
"2,4,0,2,2,0,4",20,17,17,20,17
"0,0,0,0,0,1,0",9,8,8,8,8
"2,3,1,1,3,2,0",21,19,19,21,21
"4,2,4,1,2,1,0",24,20,20,21,22
"4,3,0,2,1,0,0",27,17,17,17,17
"3,1,0,3,0,0,3",18,14,14,16,14
"4,2,0,0,2,0,4",20,16,17,19,17
"4,3,2,3,2,4,0",26,22,24,25,25
"4,1,3,2,0,1,0",29,18,18,18,18
"3,4,2,1,0,1,0",28,18,18,18,18
"4,1,2,4,4,0,4",22,17,17,17,18
"0,0,0,0,3,3,2",13,13,13,13,13
"0,0,0,1,1,3,4",15,15,15,15,15
"4,3,1,2,0,2,0",28,18,18,19,18
"0,0,0,2,2,1,4",15,15,15,15,15
"0,1,0,4,1,2,4",20,17,17,17,18
"0,0,0,1,2,4,4",14,14,14,14,14
"0,0,0,0,0,4,3",15,14,14,14,14
"4,0,3,2,1,0,1",28,18,18,18,18
"4,3,0,4,4,0,3",22,19,19,22,19
"0,0,0,0,1,4,2",15,14,14,14,14
"2,3,1,1,2,3,0",22,19,19,20,21
"0,3,4,2,1,4,3",27,22,22,23,24
"3,4,1,3,1,4,0",25,21,21,23,23
"1,3,4,0,2,1,0",28,18,18,18,18
"0,3,2,0,2,3,1",21,18,18,18,19
"4,1,0,0,1,1,4",18,15,15,18,15
"2,1,3,0,2,1,0",25,16,16,16,16
"4,3,2,4,3,0,2",29,22,24,26,25
"3,4,2,1,4,3,4",28,22,22,23,24
"0,0,0,0,1,3,4",15,15,15,15,15
"0,0,0,0,3,4,4",14,14,14,14,14
"3,4,0,3,3,0,4",21,18,18,21,18
"4,3,1,1,2,0,1",28,18,18,18,18
"1,4,0,2,4,0,2",23,17,18,20,18
"2,3,1,1,3,2,3",19,16,18,18,18
"2,3,1,3,1,1,2",19,16,18,18,18
"4,3,0,0,4,3,4",22,18,18,21,18
"0,0,0,0,2,0,0",10,9,9,9,9
"4,3,1,3,4,2,1",28,22,24,26,25
"4,3,2,4,2,3,3",24,19,22,22,22
"0,4,3,2,1,0,1",28,18,18,18,18
"4,3,2,1,0,2,0",30,19,19,19,19
"0,0,0,0,0,3,3",10,10,10,10,10
"4,0,1,0,1,0,4",19,15,15,18,15
"4,2,3,0,1,2,0",30,19,19,19,19
"4,3,2,2,4,3,2",25,19,22,22,22
"4,2,3,4,0,2,3",29,22,23,26,24
"4,3,0,4,0,4,3",23,19,19,22,19
"4,1,0,3,2,0,1",28,18,18,18,18
"0,3,2,1,1,2,3",19,16,18,18,18
"3,4,1,2,3,3,4",27,22,22,24,24
"4,3,2,0,1,2,0",30,19,19,19,19
"3,4,2,1,4,3,3",27,22,22,23,24
"3,4,2,1,2,4,1",27,20,22,24,22
"3,4,1,0,2,1,0",28,18,18,18,18
"0,4,3,0,0,4,3",21,17,18,20,18
"0,0,0,0,0,0,4",11,11,11,11,11
"0,0,0,0,1,1,2",10,10,10,10,10
"2,3,1,3,1,2,2",19,16,18,18,18
"1,4,3,2,1,0,1",28,18,18,18,18
"0,4,2,0,4,2,0",22,16,17,19,17
"4,2,3,1,0,2,0",30,19,19,19,19
"3,0,4,2,3,1,2",28,21,21,21,23
"0,0,0,0,3,3,3",10,10,10,10,10
"4,3,2,3,2,4,4",23,19,22,22,22
"4,3,2,2,3,3,4",22,19,22,22,22
"3,0,2,2,3,1,0",22,18,18,18,19
"3,0,2,3,2,0,1",22,18,18,18,19
"4,3,1,4,1,3,2",27,22,24,25,25
"4,3,1,4,2,3,1",30,22,24,25,25
"4,1,0,0,1,0,4",19,15,15,18,15
"0,0,0,0,0,1,2",10,10,10,10,10
"3,0,2,2,3,2,1",20,17,17,17,18
"0,4,3,2,4,2,3",24,19,22,22,22
"2,1,1,4,2,0,4",22,19,19,20,21
"4,2,0,0,2,4,0",21,16,17,19,17
"0,0,0,0,0,3,1",12,11,11,11,11
"3,0,2,3,2,1,2",21,17,17,17,18
"2,2,2,4,0,1,4",20,18,18,18,19
"4,1,1,3,2,0,1",28,18,18,18,18
"2,4,1,2,4,0,1",26,20,20,22,22
"4,0,2,4,0,2,0",22,16,17,19,17
"1,4,1,1,0,0,4",17,15,15,17,15
"0,0,0,1,1,0,0",9,9,9,9,9
"4,3,2,2,4,3,0",26,22,24,25,25
"3,2,3,1,1,2,0",22,19,19,20,21
"0,0,0,0,3,1,0",14,11,11,11,11
"4,1,3,2,0,1,1",28,18,18,18,18
"0,0,0,0,1,1,4",12,12,12,12,12
"3,4,2,1,3,4,3",29,22,22,24,24
"0,4,1,0,1,4,0",20,15,15,18,15
"0,0,0,0,0,0,3",10,10,10,10,10
"4,2,0,0,2,2,4",19,16,17,19,17
"4,3,2,4,2,3,0",27,22,24,25,25
"0,3,4,1,2,4,3",26,22,22,23,24
"0,0,0,4,1,2,4",18,16,16,16,17
"0,3,0,2,3,2,1",20,17,17,17,18
"3,4,0,0,3,4,3",21,17,17,20,17
"2,4,1,1,4,2,0",22,20,20,22,22
"3,0,2,2,3,1,1",19,17,17,17,18
"0,0,0,0,2,0,3",13,12,12,12,12
"4,1,0,3,1,2,0",28,18,18,18,18
"4,1,0,0,1,4,2",21,18,18,21,18
"3,1,3,2,0,1,2",24,19,19,21,21
"0,0,0,0,3,3,4",14,14,14,14,14
"4,3,0,2,0,1,0",27,17,17,17,17
"0,4,2,0,4,0,2",21,16,17,19,17
"4,3,2,0,1,0,0",27,17,17,17,17
"4,0,2,0,0,2,4",19,16,17,19,17
"0,0,0,0,3,1,3",13,12,12,12,12
"4,1,3,1,2,0,1",28,18,18,18,18
"0,0,0,0,3,0,3",12,11,11,11,11
"0,0,0,1,4,4,4",12,12,12,12,12
"1,0,4,2,3,1,0",28,18,18,18,18
"0,0,0,0,2,1,0",13,10,10,10,10
"0,0,0,1,3,4,4",15,15,15,15,15
"0,0,0,2,0,0,2",11,10,10,11,10
"3,1,4,0,2,1,0",28,18,18,18,18
"0,0,0,0,0,3,0",11,10,10,10,10
"3,4,4,1,3,0,1",24,21,21,23,23
"0,0,0,3,1,1,3",13,12,13,13,13
"0,4,2,1,4,4,4",19,16,16,16,17
"4,0,2,4,1,2,2",22,18,18,20,20
"0,0,0,0,0,2,3",12,12,12,12,12
"2,3,1,1,1,2,3",19,16,18,18,18
"2,0,2,3,0,3,0",18,14,14,16,14
"0,0,0,0,1,0,2",11,10,10,10,10
"3,1,2,4,3,3,4",23,20,20,22,22
"0,0,0,3,3,0,1",13,13,13,13,13
"0,4,0,1,1,0,4",17,15,15,17,15
"3,0,2,0,2,3,1",21,18,18,18,19
"4,2,1,4,4,4,4",19,16,16,16,17
"0,4,3,1,1,4,3",22,18,21,21,21
"4,0,0,1,1,4,4",16,14,14,16,14
