sequence,move to front,opt,opt free,discrete doa,continuous doa
"2,3,1,0,2,0,3,1,2,0",37,24,24,24,24
"3,2,1,1,2,2,3,1,3,1",26,21,23,24,24
"3,2,1,0,0,0,3,2,1,0",34,22,22,22,22
"0,0,0,3,2,1,1,2,3,2",23,19,21,21,21
"3,2,0,0,1,3,0,2,1,0",34,22,22,22,22
"0,0,0,0,0,1,1,2,2,2",13,13,13,13,13
"3,2,1,1,1,3,2,2,3,0",27,23,26,26,26
"2,3,0,0,0,3,2,3,2,3",23,19,19,22,19
"3,2,3,1,2,0,0,2,2,1",28,24,24,27,27
"3,1,0,1,3,0,2,3,1,2",32,25,25,25,26
"3,2,1,1,1,1,3,2,2,3",24,20,23,23,23
"2,1,0,2,1,3,0,2,1,0",34,22,22,22,22
"3,0,2,3,1,2,3,2,1,3",31,24,24,28,26
"2,1,1,1,3,2,2,3,3,3",20,18,20,20,20
"0,0,0,2,3,1,1,2,2,3",22,19,21,21,21
"3,2,3,1,2,0,1,0,0,2",30,24,24,27,27
"0,0,0,0,0,0,0,0,1,2",13,13,13,13,13
"0,0,0,0,0,0,2,3,3,3",15,15,15,15,15
"0,3,2,1,1,1,3,2,2,3",24,20,23,23,23
"0,2,3,1,2,3,1,1,1,3",25,20,22,23,23
"0,0,0,2,3,1,3,1,2,2",22,19,21,21,21
"0,0,0,0,0,0,1,2,2,2",13,13,13,13,13
"0,0,0,3,2,1,1,3,2,1",25,19,21,21,21
"3,1,0,3,0,0,2,3,1,2",30,24,24,24,25
"0,0,0,0,0,1,1,0,0,3",15,15,15,15,15
"3,2,0,0,1,0,3,2,1,0",34,22,22,22,22
"3,2,0,3,0,2,3,0,0,3",28,21,21,25,22
"2,1,1,1,1,3,2,2,3,3",20,18,20,20,20
"0,3,2,1,2,3,1,1,3,3",25,20,22,23,23
"0,0,0,0,0,0,1,0,1,1",13,12,12,12,12
"3,2,1,3,2,1,3,1,3,1",30,22,24,26,24
"3,2,0,3,0,3,2,0,0,2",27,21,21,25,22
"0,0,0,3,2,1,3,1,2,1",25,19,21,21,21
"3,2,1,1,3,2,3,2,3,2",27,21,23,24,24
"0,2,3,1,3,2,1,3,2,1",29,22,24,26,24
"3,2,1,0,2,3,1,0,2,0",37,24,24,24,24
"3,0,1,3,0,1,2,0,3,2",32,24,24,24,25
"3,2,1,3,2,1,3,0,1,3",34,25,25,29,27
"0,2,3,1,2,3,1,1,3,1",26,20,22,23,23
"0,2,1,1,1,1,3,2,2,3",20,18,20,20,20
"2,3,1,2,3,0,1,3,0,3",33,24,24,27,27
"0,0,0,0,0,0,1,2,2,3",16,16,16,16,16
"0,0,0,0,0,0,0,1,1,0",12,12,12,12,12
"3,3,2,1,0,1,2,0,2,0",29,23,23,26,26
"0,0,0,0,0,0,0,0,3,0",14,13,13,13,13
"0,0,0,0,0,0,0,0,2,0",13,12,12,12,12
"0,0,0,0,0,1,1,1,2,2",13,13,13,13,13
"2,0,3,0,3,0,2,0,0,2",23,19,19,22,19
"0,3,2,1,1,3,2,2,3,3",24,20,22,23,23
"3,2,3,1,2,0,0,1,1,2",29,24,24,27,27
"0,0,0,2,3,1,1,2,3,1",24,19,21,21,21
"3,0,1,1,3,0,2,1,3,2",31,24,24,24,25
"3,1,0,3,1,2,2,1,3,0",30,26,26,26,27
"3,2,1,0,3,2,0,1,2,0",37,24,24,24,24
"3,2,1,2,3,1,3,1,1,1",26,20,22,23,23
"2,3,0,1,3,0,2,3,1,2",34,26,26,26,27
"2,0,0,3,0,2,3,0,0,3",24,19,19,22,19
"3,2,3,1,2,0,2,0,2,1",30,24,24,28,27
"0,0,0,2,3,1,3,1,1,2",22,19,21,21,21
"0,0,0,0,0,0,2,2,2,2",12,12,12,12,12
"0,0,0,0,3,2,1,2,3,1",24,19,21,21,21
"1,0,3,2,1,0,3,2,1,0",36,23,23,23,23
"3,1,0,2,3,1,0,2,1,0",36,23,23,23,23
"0,0,0,0,0,0,1,3,3,1",15,15,15,15,15
"0,0,0,3,2,1,2,3,1,1",24,19,21,21,21
"0,0,0,3,2,1,1,2,3,1",24,19,21,21,21
"2,3,1,1,3,3,2,1,2,1",25,21,23,24,24
"0,3,2,1,1,3,2,2,3,2",25,20,22,23,23
"3,1,0,3,2,0,3,2,0,3",32,23,23,27,23
"2,0,0,3,0,3,2,0,0,2",23,19,19,22,19
"0,0,0,3,2,1,1,3,2,2",23,19,21,21,21
"3,2,0,3,0,2,3,2,1,3",31,24,24,28,25
"0,0,0,0,0,0,3,3,1,2",18,18,18,18,18
"2,1,1,1,1,3,2,3,2,2",21,18,20,20,20
"3,2,1,2,3,1,1,3,3,1",26,21,23,24,24
"3,1,0,3,1,2,0,3,2,2",32,24,24,24,25
"2,3,0,0,0,2,3,0,3,0",25,19,19,22,19
"2,3,1,2,3,0,1,3,3,1",31,24,24,27,27
"1,0,3,2,1,0,2,3,1,0",35,23,23,23,23
"3,2,1,1,1,3,2,2,3,3",24,20,23,23,23
"3,0,0,1,3,1,2,0,3,2",30,24,24,24,25
"3,1,0,3,1,2,3,1,2,0",33,26,26,26,27
"2,0,3,0,2,2,3,2,2,3",23,19,19,22,19
"0,0,0,0,0,0,1,2,2,1",14,14,14,14,14
"0,0,0,3,2,3,1,1,2,1",23,19,21,21,21
"1,3,0,2,3,1,2,3,1,3",31,23,23,26,26
"0,0,0,0,0,0,0,2,1,1",14,13,13,13,13
"1,2,0,3,1,2,0,3,1,0",35,23,23,23,23
"2,3,0,3,1,2,0,2,1,0",32,24,24,28,24
