sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,4,2,3,4,1,3,2,0,1",39,30,30,34,35
"0,0,0,0,0,0,0,3,2,3",17,16,16,16,16
"4,1,3,2,0,4,1,3,2,0",48,30,30,30,30
"4,1,0,4,3,1,0,1,3,0",35,25,25,31,25
"2,4,1,1,3,4,2,3,0,0",34,29,29,32,33
"0,2,0,4,0,2,0,2,4,0",26,20,20,24,20
"0,0,0,0,0,0,1,1,2,4",17,17,17,17,17
"4,3,1,2,0,4,1,3,2,0",48,30,30,30,30
"2,0,0,0,4,2,0,2,0,4",25,20,20,24,20
"4,3,0,4,1,3,0,3,1,0",36,26,27,32,27
"3,1,3,4,2,0,4,2,0,1",38,29,29,34,33
"0,0,0,0,0,0,0,2,2,1",14,14,14,14,14
"2,0,0,4,2,0,2,0,4,4",25,20,20,24,20
"3,2,0,0,4,3,2,4,3,2",34,25,27,31,27
"4,2,1,4,3,2,1,1,3,2",36,27,29,33,29
"0,0,0,0,0,0,0,1,2,1",14,13,13,13,13
"4,3,1,4,2,3,1,2,3,1",39,28,30,33,33
"2,3,0,2,4,3,0,4,3,0",35,25,25,31,26
"0,0,0,0,0,0,0,3,3,2",16,16,16,16,16
"4,3,1,1,3,3,4,1,4,1",28,23,26,27,27
"3,4,0,2,3,4,2,2,1,2",36,28,28,28,31
"0,0,0,0,0,0,0,1,2,2",13,13,13,13,13
"3,4,2,1,0,0,3,2,1,0",42,26,26,26,26
"4,3,2,4,1,1,3,2,3,2",36,27,30,32,32
"0,2,1,1,4,3,2,3,2,4",29,24,26,28,28
"0,0,0,0,0,0,1,2,2,4",17,17,17,17,17
"4,2,3,4,1,3,2,0,1,1",39,30,30,34,35
"3,4,2,1,0,3,2,4,1,0",48,30,30,30,30
"0,0,0,0,0,0,2,2,4,4",16,16,16,16,16
"3,2,1,0,4,3,2,0,1,0",42,26,26,26,26
"4,3,2,4,1,3,2,0,3,1",43,32,32,35,38
"0,2,4,0,2,0,2,0,4,0",26,20,20,24,20
"3,0,4,0,2,3,4,2,1,1",35,28,28,28,31
"0,0,0,0,0,0,0,1,0,2",14,13,13,13,13
"3,1,3,4,2,0,0,2,4,1",35,29,29,33,33
"0,0,0,0,0,0,0,2,1,4",18,17,17,17,17
"0,0,0,0,0,0,0,4,4,1",16,16,16,16,16
"0,0,0,0,0,0,0,2,0,0",13,12,12,12,12
"3,2,3,1,2,4,0,1,0,4",36,28,28,31,32
"0,3,2,3,1,4,2,0,1,4",37,29,29,31,33
"4,2,3,1,0,4,2,3,0,1",48,30,30,30,30
"4,3,2,4,1,3,2,3,0,1",42,32,32,35,37
"0,0,0,0,0,0,1,4,4,4",15,15,15,15,15
"2,4,3,0,4,3,0,4,2,0",36,27,27,33,27
"4,2,3,4,1,3,2,1,1,2",35,27,30,32,32
"3,2,4,1,0,3,0,2,1,0",42,26,26,26,26
"2,1,1,4,3,2,2,4,2,3",30,24,26,28,28
"4,3,0,4,2,3,0,2,3,0",38,27,28,33,29
"0,2,0,0,4,2,0,2,0,4",25,20,20,24,20
"2,4,1,1,3,4,2,0,0,3",35,29,29,33,33
"2,3,4,0,3,4,0,3,2,0",35,26,26,32,26
"0,2,0,4,0,2,0,2,0,4",25,20,20,24,20
"4,3,2,0,1,4,2,3,0,1",48,30,30,30,30
"3,2,1,2,4,3,1,3,1,4",34,26,29,31,31
"4,2,1,2,4,1,4,2,1,1",30,23,25,28,26
"2,1,1,4,3,2,2,4,3,2",31,24,26,28,28
"3,4,2,4,1,3,2,0,1,3",42,32,32,35,37
"2,3,2,1,4,3,0,4,1,4",36,29,29,29,32
"0,0,0,0,0,0,1,2,3,3",16,16,16,16,16
"0,1,3,0,2,4,3,1,4,2",35,28,28,28,31
"3,4,0,2,3,4,2,1,1,2",36,29,29,29,32
"4,3,2,1,0,0,3,2,1,0",42,26,26,26,26
"2,1,1,4,3,2,2,3,2,4",29,24,26,28,28
"3,0,2,4,3,1,4,2,2,4",34,28,28,28,31
"2,4,1,1,3,4,2,3,3,0",34,29,29,32,33
"0,0,0,0,0,0,2,3,3,2",16,16,16,16,16
"1,3,1,4,1,2,3,4,2,0",36,29,29,29,32
"0,0,0,0,0,0,0,0,1,0",12,11,11,11,11
"4,2,0,4,2,3,0,2,3,0",36,26,27,32,27
"2,1,1,1,4,3,2,2,3,4",28,24,27,28,28
"0,2,4,0,0,2,4,2,2,4",24,20,20,24,20
"2,4,3,1,0,2,4,3,1,0",48,30,30,30,30
"4,3,2,1,0,4,3,1,2,0",49,30,30,30,30
"4,1,0,1,0,4,0,0,0,4",24,19,19,23,19
"2,3,2,1,4,3,0,4,4,1",35,29,29,29,32
"0,4,3,2,1,0,3,2,1,0",42,26,26,26,26
"3,2,3,1,2,4,0,0,4,1",34,28,28,31,32
"1,3,1,4,1,2,3,4,0,2",37,29,29,29,32
"0,0,0,0,0,0,0,2,4,0",18,16,16,16,16
"4,3,2,1,0,4,2,3,1,0",49,30,30,30,30
"3,4,0,2,3,4,2,1,0,2",41,29,29,29,32
"3,0,2,1,4,3,0,2,1,0",42,26,26,26,26
"1,1,3,4,1,2,3,4,2,0",36,29,29,29,32
"0,0,0,0,0,0,1,4,4,3",19,19,19,19,19
"3,0,0,2,4,3,1,4,2,2",33,27,27,27,30
"1,3,0,4,0,2,3,4,2,1",37,29,29,29,32
"2,4,1,1,3,4,2,3,0,3",35,29,29,32,33
"0,0,0,0,0,0,0,0,1,4",15,15,15,15,15
"4,3,2,1,0,4,1,3,2,0",48,30,30,30,30
"3,2,0,1,4,3,2,0,1,0",42,26,26,26,26
"4,3,2,1,0,3,4,1,2,0",48,30,30,30,30
"2,0,0,0,4,2,0,2,4,0",26,20,20,24,20
"3,4,2,1,0,3,4,1,2,0",48,30,30,30,30
"0,0,0,0,0,0,0,0,0,1",11,11,11,11,11
"4,3,0,4,0,4,3,0,3,0",30,23,23,28,23
"3,4,0,2,3,4,1,2,2,2",36,28,28,28,31
"4,3,2,0,1,3,4,2,0,1",48,30,30,30,30
"3,1,3,4,2,0,4,0,2,1",37,29,29,33,33
"4,2,0,4,3,2,0,0,2,3",34,26,27,32,28
"0,0,0,0,0,0,1,2,2,3",16,16,16,16,16
"1,2,0,2,4,1,0,1,4,0",31,23,23,28,24
