0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.47,4.53,7.13,11.43,14.1,16.62,19.03,21.4,23.68,25.97,28.23,30.1,32.45,34.5,36.46,38.3,39.87
0.0,0.0,0.0,3.12,5.96,11.38,16.16,20.4,24.53,28.35,32.34,35.45,38.73,42.05,44.91,47.52,50.2,52.67,54.83,57.1
0.0,0.0,0.8,1.28,4.77,10.59,16.64,22.25,27.58,32.43,36.78,40.98,44.97,48.53,52.17,55.3,58.0,60.76,63.03,65.54
0.0,0.0,0.46,0.77,3.67,9.04,15.24,21.82,28.07,33.43,38.83,43.72,47.73,51.79,55.34,58.65,61.96,64.59,67.2,69.39
0.0,0.0,0.29,0.5,2.48,6.66,12.77,19.22,25.93,32.42,38.32,43.53,48.26,52.23,56.25,59.99,63.33,66.12,68.7,71.06
0.0,0.0,0.2,0.34,1.72,5.17,10.02,16.81,23.75,30.41,36.66,42.76,47.64,52.26,56.97,59.99,63.82,66.7,69.2,71.92
0.0,0.0,0.14,0.24,1.3,3.75,8.09,13.71,20.16,27.03,33.99,40.13,46.06,50.58,55.15,59.66,62.93,66.16,69.05,70.91
0.0,0.0,0.1,0.18,0.98,2.88,6.28,11.37,17.42,24.3,30.99,37.62,43.79,49.23,54.12,58.29,61.79,65.33,66.83,67.34
0.0,0.0,0.08,0.14,0.73,2.24,5.0,9.06,14.5,20.78,27.5,34.33,40.32,46.31,51.41,55.85,59.44,61.3,62.52,63.26
0.0,0.0,0.06,0.11,0.61,1.77,3.95,7.32,12.12,18.0,24.46,30.98,37.51,43.75,49.03,53.3,55.64,58.2,60.47,63.11
0.0,0.0,0.05,0.09,0.44,1.48,3.22,6.01,10.38,15.51,21.02,27.72,34.01,40.48,45.15,49.36,52.58,55.73,60.12,63.96
0.0,0.0,0.04,0.07,0.37,1.14,2.65,5.21,8.61,13.26,18.59,24.48,31.15,36.89,41.79,46.0,50.59,55.29,59.79,64.03
0.0,0.0,0.03,0.06,0.29,0.96,2.23,4.39,7.21,11.24,16.23,21.96,27.68,33.13,38.32,43.44,48.13,53.75,58.68,62.48
0.0,0.0,0.03,0.05,0.26,0.78,1.93,3.7,6.27,9.81,14.46,19.74,24.79,30.08,35.54,40.87,46.2,51.58,56.44,60.64
0.0,0.0,0.02,0.04,0.23,0.72,1.66,3.14,5.55,8.68,12.96,17.75,22.18,27.24,32.26,37.76,43.3,48.72,53.47,57.95
0.0,0.0,0.02,0.03,0.2,0.58,1.36,2.65,4.73,7.67,11.46,15.49,19.83,24.6,29.9,35.13,40.6,45.97,50.87,55.52
0.0,0.0,0.02,0.03,0.15,0.51,1.23,2.41,4.24,6.82,10.33,13.88,17.87,22.26,27.39,32.43,38.16,42.95,47.96,52.38
0.0,0.0,0.01,0.02,0.14,0.46,1.07,2.15,3.87,6.12,9.26,12.19,15.92,19.98,24.73,29.92,34.98,40.3,44.99,49.95
