sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,0,0,1,1,1,0,2,3",16,16,16,16,16
"4,2,1,4,0,3,2,4,4",35,26,26,26,28
"0,0,0,0,4,4,1,2,2",18,18,18,18,18
"0,0,0,0,4,4,3,4,2",22,20,20,20,20
"3,4,0,3,0,3,4,0,4",27,21,21,25,21
"2,4,0,2,0,0,2,2,4",23,19,19,23,19
"4,2,4,1,2,0,2,1,0",30,24,24,28,27
"2,4,3,1,1,4,2,3,1",34,25,28,29,29
"4,3,1,4,2,3,1,0,3",38,28,28,31,32
"4,2,1,4,4,2,0,1,3",33,28,28,28,30
"2,1,4,3,0,0,2,1,0",35,22,22,22,22
"2,4,0,3,1,0,2,1,0",35,22,22,22,22
"0,0,0,0,4,4,3,3,1",20,20,20,20,20
"4,0,0,3,4,0,4,0,3",26,21,21,25,21
"2,3,1,2,3,0,1,3,3",29,22,22,25,25
"4,2,1,4,4,2,0,3,1",34,28,28,28,30
"3,4,2,1,0,3,2,0,1",40,25,25,25,25
"3,2,3,1,2,0,2,1,0",29,23,23,27,26
"3,2,4,0,3,4,1,3,3",33,25,25,27,28
"3,4,0,3,0,3,4,4,0",26,21,21,25,21
"0,0,0,0,4,4,3,1,1",20,19,19,19,19
"1,2,4,0,2,0,2,0,4",26,20,20,24,20
"0,4,3,2,4,1,2,2,3",32,25,27,29,29
"0,4,3,2,3,4,1,2,2",31,25,27,29,29
"0,0,0,1,1,1,0,0,2",13,13,13,13,13
"2,4,3,1,1,3,4,2,3",31,25,28,29,29
"2,4,3,0,4,3,0,0,2",31,24,25,29,25
"0,4,2,3,4,1,1,3,2",31,25,28,29,29
"0,2,4,1,0,3,2,1,0",35,22,22,22,22
"3,0,3,1,2,0,2,1,0",27,21,21,25,21
"4,2,1,4,0,2,3,3,4",34,27,27,27,29
"0,2,4,3,1,4,2,3,1",34,25,28,30,29
"0,4,2,1,4,4,2,0,1",29,24,24,24,26
"0,4,3,1,1,1,3,4,4",23,20,23,23,23
"0,0,0,0,4,4,3,2,1",25,22,22,22,22
"2,0,2,4,1,0,1,4,0",28,21,21,26,22
"0,4,3,2,4,1,3,2,1",35,25,28,29,29
"0,0,0,0,4,4,0,2,3",21,21,21,21,21
"0,4,3,2,3,4,1,2,1",32,25,28,29,29
"4,2,0,0,2,4,0,4,0",25,19,20,23,20
"4,3,2,4,3,1,2,0,2",37,28,28,32,32
"4,2,1,4,0,2,4,3,3",33,26,26,26,28
"0,0,4,3,1,1,4,1,3",25,20,23,23,23
"3,2,3,1,2,0,1,2,2",28,22,22,25,25
"3,4,2,1,4,0,2,4,4",35,25,25,25,27
"4,0,1,0,1,4,0,0,4",23,18,18,22,18
"0,2,4,1,1,3,4,2,3",29,24,26,27,28
"2,1,0,4,3,2,0,1,0",35,22,22,22,22
"0,0,0,4,3,1,3,1,4",24,20,23,23,23
"3,0,0,4,3,0,3,0,4",25,20,20,24,20
"3,3,4,2,1,4,0,2,1",36,28,28,32,32
"0,0,4,3,1,1,1,4,3",24,20,23,23,23
"3,0,4,0,3,0,3,0,4",25,20,20,24,20
"0,0,0,0,4,4,2,2,1",19,19,19,19,19
"2,4,3,1,1,3,4,3,2",30,25,28,29,29
"1,2,4,0,2,0,0,2,4",25,20,20,24,20
"3,1,3,4,2,1,2,1,4",30,24,26,28,28
"2,1,4,0,0,3,2,1,0",35,22,22,22,22
"2,0,4,0,2,0,2,0,4",24,19,19,23,19
"0,4,2,1,4,0,2,4,3",33,26,26,26,28
"2,4,3,1,1,4,3,2,0",34,29,29,33,33
"0,2,4,3,1,0,2,1,0",35,22,22,22,22
"0,0,0,1,1,0,3,4,4",18,18,18,18,18
"2,1,2,4,3,1,3,1,4",29,23,25,27,27
"4,4,3,2,1,3,0,2,1",37,29,29,33,33
"0,4,3,1,1,3,4,3,3",24,20,23,23,23
"2,1,1,4,3,2,3,2,4",28,23,25,27,27
"0,0,0,0,4,4,4,0,0",14,14,14,14,14
"0,4,3,0,4,0,4,0,3",26,21,21,25,21
"0,4,3,2,4,1,2,3,1",34,25,28,29,29
"0,0,0,0,4,4,1,0,0",17,16,16,16,16
"3,0,3,4,2,0,4,2,0",31,23,24,28,24
"0,0,0,0,4,4,0,4,1",17,16,16,16,16
"2,4,3,0,3,4,0,0,2",30,24,25,29,25
"4,0,2,1,3,0,2,1,0",35,22,22,22,22
"4,2,1,4,4,2,4,0,1",30,24,24,24,26
"2,0,2,4,1,0,4,0,1",28,21,21,25,22
"0,0,0,0,4,4,2,0,3",22,21,21,21,21
"3,2,4,0,3,0,4,2,3",34,26,26,31,28
"0,4,3,1,1,4,3,1,1",26,20,23,23,23
"0,3,4,0,3,0,0,3,4",24,20,20,24,20
"3,1,2,0,4,3,1,2,0",40,25,25,25,25
"0,0,4,3,1,1,3,1,4",24,20,23,23,23
"0,0,0,0,4,4,4,4,1",15,15,15,15,15
"0,0,0,1,1,1,0,0,0",11,11,11,11,11
"3,2,1,1,1,3,2,3,2",24,19,22,22,22
"0,4,3,1,1,3,4,1,1",25,20,23,23,23
"2,4,0,2,0,2,4,4,0",25,20,20,24,20
"2,4,3,1,1,1,4,2,3",31,25,28,29,29
"0,2,1,0,4,3,2,1,0",35,22,22,22,22
"4,1,0,1,0,4,0,4,0",24,18,18,22,18
"0,4,3,1,1,3,3,4,3",24,20,23,23,23
"2,2,4,1,0,1,4,0,0",26,21,21,25,23
"3,2,0,4,3,2,3,2,4",31,24,25,28,28
"0,4,2,1,4,0,2,4,4",29,22,22,22,24
"0,0,0,0,4,4,1,1,0",17,17,17,17,17
"4,2,0,2,0,4,0,4,0",25,19,20,23,20
"3,1,4,2,0,3,1,2,0",40,25,25,25,25
"2,4,1,1,3,4,2,0,3",34,28,28,32,32
"0,0,4,3,1,3,1,1,4",24,20,23,23,23
"0,4,3,1,3,1,4,4,4",24,20,23,23,23
"4,1,0,1,0,4,1,1,4",24,19,19,23,20
"4,0,0,3,4,0,0,4,3",25,21,21,25,21
"4,2,1,4,3,0,2,3,4",38,29,29,29,31
"0,4,2,3,4,1,2,3,1",34,25,28,29,29
"2,0,2,4,0,1,0,4,1",27,21,21,25,22
"0,0,4,3,2,4,1,3,2",33,25,27,29,29
"3,4,1,3,4,1,3,0,1",32,24,25,29,26
"4,1,2,4,0,3,4,1,3",35,27,27,27,29
"0,4,3,1,1,4,1,3,1",26,20,23,23,23
"4,2,4,1,2,2,0,1,0",28,23,23,26,26
"0,0,0,4,3,1,3,4,1",25,20,23,24,23
"4,3,1,1,1,1,3,4,1",25,20,23,23,23
"0,4,1,1,3,4,0,3,2",30,26,26,28,29
"0,4,3,2,4,1,1,2,3",32,25,28,29,29
"0,0,4,3,1,1,3,3,4",23,20,23,23,23
"0,0,0,0,4,4,2,4,1",20,18,18,18,18
"4,2,1,4,2,4,0,4,1",31,24,24,24,26
"0,0,0,0,4,4,0,4,0",16,15,15,15,15
"4,2,1,4,2,4,3,0,1",36,28,28,28,30
"0,4,3,1,4,1,1,1,3",25,20,23,23,23
"4,3,1,1,1,1,3,1,4",24,20,23,23,23
"0,0,0,0,4,4,0,0,2",17,17,17,17,17
"3,4,0,3,0,0,3,3,4",24,20,20,24,20
"0,0,0,0,4,4,4,4,0",14,14,14,14,14
"2,1,4,0,3,2,0,1,0",35,22,22,22,22
"2,4,3,0,1,0,2,1,0",35,22,22,22,22
"4,2,0,3,1,0,2,1,0",35,22,22,22,22
"3,2,1,4,0,3,1,2,0",40,25,25,25,25
"0,2,4,0,2,0,2,0,4",24,19,19,23,19
"0,0,0,0,4,4,3,3,0",19,19,19,19,19
"2,0,2,1,3,0,3,1,0",26,20,20,24,20
"2,1,1,4,3,2,2,3,4",27,23,25,27,27
"0,3,4,2,1,4,0,2,4",35,25,25,25,27
"4,2,0,4,2,0,0,0,2",25,19,20,23,20
"0,4,3,2,4,3,1,2,1",33,25,28,29,29
"0,0,0,0,4,4,3,4,1",21,19,19,19,19
"0,0,0,0,4,4,4,0,1",16,16,16,16,16
"2,4,3,1,4,3,2,1,0",37,29,29,33,33
"0,0,0,0,4,4,2,0,1",21,19,19,19,19
"0,4,3,1,1,1,1,4,3",24,20,23,23,23
"0,4,3,1,4,1,3,1,1",26,20,23,23,23
"0,0,4,2,3,4,1,2,3",32,25,26,29,29
"4,2,1,1,4,2,0,4,3",32,27,28,28,30
"2,4,0,2,0,2,4,0,4",26,20,20,24,20
"2,4,0,0,2,4,2,2,4",23,19,19,23,19
"4,2,1,1,1,4,2,2,4",24,20,23,23,23
"3,3,4,1,2,4,0,1,2",35,28,28,32,32
"4,2,1,1,1,4,2,0,4",28,23,24,24,26
"4,3,2,4,1,3,2,2,3",34,26,28,31,31
"0,0,0,0,4,4,2,3,3",20,20,20,20,20
"0,0,0,0,4,4,2,4,0",19,17,17,17,17
"0,4,3,1,3,1,1,4,1",25,20,23,23,23
"4,2,1,4,2,0,4,1,3",35,28,28,28,30
"3,4,2,0,1,3,2,0,1",40,25,25,25,25
"4,3,0,4,0,0,4,0,3",26,21,21,25,21
"4,1,0,0,1,4,0,0,4",23,18,18,22,18
"0,0,0,1,1,1,1,0,2",13,13,13,13,13
"0,0,0,0,4,4,3,4,3",19,18,18,18,18
"2,4,3,1,1,4,2,1,3",33,25,28,29,29
"4,2,1,4,0,3,2,4,3",37,28,28,28,30
"0,4,3,1,1,3,1,4,4",24,20,23,23,23
"1,3,4,0,3,0,3,4,0",28,21,21,25,21
"2,1,1,4,3,2,3,4,2",29,23,25,28,27
"3,4,2,1,1,4,2,0,4",34,26,27,27,29
"2,1,4,0,3,2,1,0,0",35,22,22,22,22
"2,4,0,1,0,3,2,1,0",35,22,22,22,22
"2,4,3,1,3,4,1,2,0",35,29,29,33,33
"0,0,0,0,4,4,1,4,4",16,15,15,15,15
"2,4,3,1,1,1,4,3,2",30,25,28,29,29
"0,0,0,0,4,4,1,0,2",20,19,19,19,19
"4,3,2,1,0,2,3,1,0",40,25,25,25,25
"2,1,0,0,4,3,2,1,0",35,22,22,22,22
"4,3,1,1,1,1,3,4,4",23,20,23,23,23
"4,1,0,0,1,4,1,4,1",23,18,18,22,18
"4,2,1,4,2,0,3,1,4",38,28,28,28,30
"0,4,3,2,4,1,2,1,3",33,25,28,29,29
"2,4,1,1,3,4,2,3,2",30,24,26,28,28
"0,2,4,3,1,4,2,1,3",33,25,28,30,29
"4,3,1,1,1,3,1,4,1",25,20,23,23,23
"0,0,0,0,4,4,0,1,0",17,16,16,16,16
"2,4,1,0,3,0,2,1,0",35,22,22,22,22
"0,4,2,3,4,1,2,3,3",32,25,26,29,29
"4,0,4,3,2,0,3,2,0",32,24,25,29,25
"1,3,2,4,0,3,4,2,3",34,26,26,28,29
"0,2,4,3,1,4,1,3,2",31,25,28,29,29
"0,0,0,0,4,4,1,1,1",15,15,15,15,15
"0,0,0,0,4,4,2,2,4",17,17,17,17,17
"0,0,0,1,1,1,1,0,4",15,15,15,15,15
"4,2,1,4,0,3,4,1,3",35,27,27,27,29
"4,4,3,2,1,3,0,1,2",36,29,29,33,33
"2,1,1,4,3,2,4,2,3",29,23,25,27,27
"2,4,0,2,0,2,4,0,0",25,19,19,23,19
"2,1,0,4,0,3,2,1,0",35,22,22,22,22
"0,4,2,1,1,4,2,0,4",28,23,24,24,26
"0,4,3,1,4,1,1,3,1",26,20,23,23,23
"0,4,2,0,4,2,0,0,2",25,19,20,23,20
"2,4,1,0,0,3,2,1,0",35,22,22,22,22
"4,0,2,0,2,4,0,0,4",24,19,20,23,20
"0,2,1,4,0,3,2,1,0",35,22,22,22,22
"4,2,4,1,2,0,2,0,1",29,24,24,27,27
"3,4,0,3,0,3,0,4,4",25,20,20,24,20
"4,3,1,1,1,3,4,3,3",24,20,23,23,23
"1,3,4,0,3,0,0,3,4",26,21,21,25,21
