sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,4,4,2",11,11,11,11,11
"0,0,0,1",5,5,5,5,5
"4,3,1,2",19,14,14,14,14
"1,2,0,0",9,7,7,7,7
"0,0,2,3",9,9,9,9,9
"0,4,2,1",14,11,11,11,11
"2,4,0,1",15,11,11,11,11
"4,0,2,1",15,11,11,11,11
"4,0,3,2",17,13,13,13,13
"4,1,0,4",14,11,11,11,11
"2,1,0,2",12,9,9,9,9
"1,2,2,3",10,10,10,10,10
"4,2,0,3",17,13,13,13,13
"4,0,3,1",16,12,12,12,12
"0,3,2,2",10,9,9,9,9
"0,4,4,3",12,12,12,12,12
"0,0,3,0",8,7,7,7,7
"0,2,2,2",6,6,6,6,6
"1,4,4,1",10,10,10,10,10
"0,0,2,0",7,6,6,6,6
"0,1,4,1",10,9,9,9,9
"4,2,4,2",13,11,12,12,12
"0,1,0,2",8,7,7,7,7
"1,1,1,2",7,7,7,7,7
"2,1,4,0",15,11,11,11,11
"1,3,3,4",12,12,12,12,12
"3,2,0,3",14,11,11,12,12
"2,3,3,3",9,9,9,9,9
"2,4,4,2",11,11,11,11,11
"0,2,0,3",10,9,9,9,9
"0,3,2,1",13,10,10,10,10
"1,2,4,0",14,11,11,11,11
"4,3,2,0",19,13,13,13,13
"1,2,2,4",11,11,11,11,11
"4,1,0,1",13,10,10,10,10
"2,4,1,0",16,11,11,11,11
"2,3,0,2",13,10,10,10,10
"2,2,1,1",8,8,8,8,8
"0,3,3,0",8,8,8,8,8
"0,1,2,2",7,7,7,7,7
"2,4,4,3",14,14,14,14,14
"4,3,3,4",13,12,13,13,13
"4,0,0,4",10,9,9,10,9
"0,2,0,4",11,10,10,10,10
"0,1,3,1",9,8,8,8,8
"3,2,3,2",12,10,11,11,11
"0,1,1,1",5,5,5,5,5
"2,2,0,4",11,11,11,11,11
"0,0,3,4",11,11,11,11,11
"3,2,4,1",18,14,14,14,14
"3,2,1,2",14,11,11,11,11
"3,1,1,3",10,9,10,10,10
"3,2,0,0",12,9,9,9,9
"1,2,4,4",11,11,11,11,11
"4,0,4,0",11,9,9,10,9
"0,1,1,2",7,7,7,7,7
"1,1,0,0",6,6,6,6,6
"0,1,1,3",8,8,8,8,8
"1,2,3,4",14,14,14,14,14
"1,3,4,4",12,12,12,12,12
"3,1,2,3",14,12,12,13,13
"0,0,3,3",7,7,7,7,7
"0,2,4,1",13,11,11,11,11
"3,2,0,1",15,10,10,10,10
"0,3,0,0",8,7,7,7,7
"4,2,1,0",17,11,11,11,11
"2,1,0,3",13,10,10,10,10
"0,2,3,4",13,13,13,13,13
"4,2,0,1",16,11,11,11,11
"3,2,4,0",17,13,13,13,13
"2,2,2,4",10,10,10,10,10
"1,3,2,1",13,10,10,10,10
"1,1,3,3",8,8,8,8,8
"4,3,1,0",18,12,12,12,12
"0,4,4,1",10,10,10,10,10
"1,4,4,2",12,12,12,12,12
"3,4,2,0",18,13,13,13,13
"2,2,0,3",10,10,10,10,10
"0,0,1,1",5,5,5,5,5
"0,0,4,0",9,8,8,8,8
"2,2,2,3",9,9,9,9,9
"2,2,4,4",10,10,10,10,10
"0,0,3,2",10,9,9,9,9
"2,1,0,0",10,7,7,7,7
"1,4,4,3",13,13,13,13,13
"3,1,0,1",12,9,9,9,9
"0,1,0,1",7,6,6,6,6
"1,2,3,0",13,10,10,10,10
"0,1,4,0",11,9,9,9,9
"1,3,0,1",12,9,9,9,9
"0,1,3,0",10,8,8,8,8
"0,4,4,0",9,9,9,9,9
"2,3,4,4",13,13,13,13,13
"1,2,0,1",11,8,8,8,8
"3,2,1,0",16,10,10,10,10
"3,3,0,1",10,10,10,10,10
"0,3,4,3",12,11,11,11,11
"1,4,2,0",15,11,11,11,11
"0,0,1,0",6,5,5,5,5
"1,1,1,3",8,8,8,8,8
"1,3,0,2",13,10,10,10,10
"4,3,0,2",18,13,13,13,13
"4,2,2,4",12,11,12,12,12
"0,3,3,2",10,10,10,10,10
"3,4,1,0",17,12,12,12,12
"2,1,1,2",9,8,9,9,9
"0,3,1,1",9,8,8,8,8
"3,2,1,1",13,10,10,10,10
"3,0,0,3",9,8,8,9,8
"2,2,3,4",13,13,13,13,13
"0,3,0,1",10,8,8,8,8
"1,2,2,1",8,8,8,8,8
"3,2,2,3",11,10,11,11,11
"0,0,2,2",6,6,6,6,6
"1,4,3,0",16,12,12,12,12
"4,1,1,4",11,10,11,11,11
"4,2,3,0",18,13,13,13,13
"3,1,0,0",11,8,8,8,8
"2,3,1,2",14,11,11,11,11
"0,3,3,1",9,9,9,9,9
"0,1,4,4",9,9,9,9,9
"0,2,4,4",10,10,10,10,10
"2,0,4,1",14,11,11,11,11
"2,2,2,0",7,7,7,7,7
"0,3,2,3",11,10,10,10,10
"1,4,2,1",14,11,11,11,11
"0,3,4,1",14,12,12,12,12
"4,3,2,1",20,14,14,14,14
"1,1,0,2",8,8,8,8,8
"1,1,2,2",7,7,7,7,7
"0,0,1,2",7,7,7,7,7
"4,1,4,1",12,10,11,11,11
"1,1,1,4",9,9,9,9,9
"0,0,2,1",8,7,7,7,7
"4,1,0,3",16,12,12,12,12
"0,0,4,3",12,11,11,11,11
"1,1,1,1",5,5,5,5,5
"0,1,2,4",11,11,11,11,11
"0,3,3,4",11,11,11,11,11
"2,0,2,0",9,7,7,8,7
